"","X","U","V"
"1",17,17,32
"2",15,15,30
"3",11,11,26
"4",9,9,24
"5",8,8,23
"6",8,8,23
"7",7,7,22
"8",5,5,20
"9",20,19,34
"10",19,18,33
"11",12,11,26
"12",12,11,26
"13",11,10,25
"14",9,8,23
"15",6,5,20
"16",19,17,32
"17",18,16,31
"18",18,16,31
"19",15,13,28
"20",15,13,28
"21",13,11,26
"22",11,9,24
"23",11,9,24
"24",8,6,21
"25",21,18,33
"26",21,18,33
"27",20,17,32
"28",20,17,32
"29",19,16,31
"30",12,9,24
"31",9,6,21
"32",9,6,21
"33",3,0,15
"34",23,19,34
"35",22,18,33
"36",17,13,28
"37",17,13,28
"38",12,8,23
"39",11,7,22
"40",10,6,21
"41",10,6,21
"42",24,19,34
"43",21,16,31
"44",20,15,30
"45",20,15,30
"46",17,12,27
"47",15,10,25
"48",10,5,20
"49",8,3,18
"50",6,1,16
"51",6,1,16
"52",24,18,33
"53",23,17,32
"54",22,16,31
"55",17,11,26
"56",15,9,24
"57",15,9,24
"58",14,8,23
"59",14,8,23
"60",12,6,21
"61",12,6,21
"62",9,3,18
"63",9,3,18
"64",8,2,17
"65",8,2,17
"66",26,19,34
"67",26,19,34
"68",25,18,33
"69",25,18,33
"70",25,18,33
"71",24,17,32
"72",24,17,32
"73",20,13,28
"74",19,12,27
"75",19,12,27
"76",15,8,23
"77",14,7,22
"78",11,4,19
"79",9,2,17
"80",8,1,16
"81",7,0,15
"82",27,19,34
"83",27,19,34
"84",27,19,34
"85",24,16,31
"86",24,16,31
"87",19,11,26
"88",18,10,25
"89",17,9,24
"90",17,9,24
"91",16,8,23
"92",14,6,21
"93",24,15,30
"94",24,15,30
"95",23,14,29
"96",23,14,29
"97",21,12,27
"98",20,11,26
"99",19,10,25
"100",19,10,25
"101",18,9,24
"102",17,8,23
"103",16,7,22
"104",15,6,21
"105",13,4,19
"106",11,2,17
"107",8,-1,14
"108",23,13,28
"109",21,11,26
"110",20,10,25
"111",19,9,24
"112",17,7,22
"113",17,7,22
"114",17,7,22
"115",14,4,19
"116",11,1,16
"117",11,1,16
"118",9,-1,14
"119",9,-1,14
"120",30,19,34
"121",25,14,29
"122",24,13,28
"123",22,11,26
"124",22,11,26
"125",21,10,25
"126",21,10,25
"127",18,7,22
"128",16,5,20
"129",16,5,20
"130",6,-5,10
"131",31,19,34
"132",30,18,33
"133",30,18,33
"134",30,18,33
"135",24,12,27
"136",17,5,20
"137",17,5,20
"138",16,4,19
"139",16,4,19
"140",32,19,34
"141",30,17,32
"142",22,9,24
"143",20,7,22
"144",18,5,20
"145",17,4,19
"146",16,3,18
"147",15,2,17
"148",9,-4,11
"149",33,19,34
"150",31,17,32
"151",28,14,29
"152",27,13,28
"153",26,12,27
"154",25,11,26
"155",24,10,25
"156",22,8,23
"157",22,8,23
"158",22,8,23
"159",21,7,22
"160",19,5,20
"161",18,4,19
"162",16,2,17
"163",15,1,16
"164",5,-9,6
"165",34,19,34
"166",33,18,33
"167",32,17,32
"168",28,13,28
"169",23,8,23
"170",22,7,22
"171",20,5,20
"172",16,1,16
"173",15,0,15
"174",10,-5,10
