"","sample2","sample3","sample4","sample6","sample7","sample8","trend","time"
"1",4.94281420144469e-05,0.0001329822,4.20453395464445e-05,3.84089394835584e-05,0.000125605,3.8724e-05,0,2011-07-27
"2",4.11775521400674e-05,0.0001929138,7.0207486989113e-05,4.20853115162645e-05,8.16203072638116e-05,4.14755862155633e-05,8,2011-08-04
"3",4.32846944116662e-05,0.0002055523,4.31284682920737e-05,5.81198738893613e-05,8.21831738148621e-05,4.02374744444836e-05,14,2011-08-10
"4",4.30539295605347e-05,0.0001278905,3.199176833376e-05,5.60913542477353e-05,9.6642462323663e-05,4.3835354590876e-05,26,2011-08-22
"5",3.35448773576364e-05,0.0002385032,0.0001059879,8.32978821681181e-05,0.0001245259,4.15545326454044e-05,33,2011-08-29
"6",6.70836552916776e-05,0.0001866742,7.0281723277865e-05,6.87796090650834e-05,0.0001414664,3.53139429126134e-05,39,2011-09-04
"7",4.02104995952918e-05,0.0001854102,6.09167233129947e-05,8.90458220937492e-05,0.0001069281,3.63767344065416e-05,47,2011-09-12
"8",3.67985774799442e-05,0.0004171227,5.68106315198224e-05,8.35433716005244e-05,0.0001272746,3.54205778291859e-05,56,2011-09-21
"9",6.01622146827095e-05,0.0002442668,5.18364770630957e-05,8.04099042270652e-05,0.0001382852,4.05273798937652e-05,62,2011-09-27
"10",2.2480134542429e-05,0.0002126584,5.07914502762345e-05,5.46831179221729e-05,0.0001289463,3.35344297639201e-05,71,2011-10-06
"11",1.57353522542179e-05,0.0003026864,4.80926976230584e-05,4.90900743303519e-05,0.0001256351,2.0954328498193e-05,83,2011-10-18
"12",2.93663563945902e-05,0.000303085,4.51044538824858e-05,7.3684616268518e-05,0.0001054437,2.86378827812466e-05,95,2011-10-30
"13",2.77243681440516e-05,0.0002279179,4.49324499612551e-05,8.29271652850506e-05,0.0001092563,1.94628461253073e-05,109,2011-11-13
