"","group","ntumor","time","event","dmin","tumor"
"A1","A",5,50,FALSE,37,TRUE
"A2","A",17,50,FALSE,27,TRUE
"A3","A",11,50,FALSE,37,TRUE
"A4","A",16,48,TRUE,33,TRUE
"A5","A",8,47,TRUE,32,TRUE
"A6","A",3,48,TRUE,36,TRUE
"A7","A",9,50,FALSE,38,TRUE
"A8","A",4,43,TRUE,35,TRUE
"A9","A",13,49,TRUE,30,TRUE
"A10","A",16,41,TRUE,27,TRUE
"A11","A",2,32,TRUE,30,TRUE
"A12","A",12,50,FALSE,40,TRUE
"A13","A",9,50,FALSE,35,TRUE
"A14","A",5,46,TRUE,40,TRUE
"A15","A",11,46,TRUE,36,TRUE
"A16","A",9,46,TRUE,35,TRUE
"A17","A",7,48,TRUE,37,TRUE
"A18","A",7,47,TRUE,33,TRUE
"A19","A",5,49,TRUE,36,TRUE
"A20","A",5,37,TRUE,35,TRUE
"A21","A",6,50,FALSE,44,TRUE
"A22","A",6,48,TRUE,38,TRUE
"A23","A",7,46,TRUE,39,TRUE
"A24","A",8,50,FALSE,35,TRUE
"A25","A",9,50,FALSE,35,TRUE
"A26","A",5,43,TRUE,29,TRUE
"A27","A",5,41,TRUE,35,TRUE
"A28","A",5,40,TRUE,26,TRUE
"A29","A",3,50,FALSE,38,TRUE
"A30","A",4,46,TRUE,37,TRUE
"A31","A",5,50,FALSE,36,TRUE
"A32","A",9,50,FALSE,35,TRUE
"A33","A",7,47,TRUE,37,TRUE
"A34","A",12,43,TRUE,27,TRUE
"A35","A",2,50,FALSE,43,TRUE
"A36","A",9,43,TRUE,27,TRUE
"B1","B",5,50,FALSE,37,TRUE
"B2","B",8,50,FALSE,36,TRUE
"B3","B",9,50,FALSE,29,TRUE
"B4","B",9,50,FALSE,26,TRUE
"B5","B",10,50,FALSE,43,TRUE
"B6","B",9,50,FALSE,39,TRUE
"B7","B",11,46,TRUE,36,TRUE
"B8","B",10,47,TRUE,38,TRUE
"B9","B",8,46,TRUE,32,TRUE
"B10","B",7,50,FALSE,36,TRUE
"B11","B",2,50,FALSE,41,TRUE
"B12","B",14,50,FALSE,39,TRUE
"B13","B",9,46,TRUE,32,TRUE
"B14","B",5,50,FALSE,36,TRUE
"B15","B",4,47,TRUE,38,TRUE
"B16","B",11,46,TRUE,30,TRUE
"B17","B",5,47,TRUE,36,TRUE
"B18","B",13,50,FALSE,36,TRUE
"B19","B",2,40,TRUE,36,TRUE
"B20","B",8,50,FALSE,36,TRUE
"B21","B",9,41,TRUE,30,TRUE
"B22","B",4,41,TRUE,36,TRUE
"B23","B",11,50,FALSE,37,TRUE
"B24","B",0,34,TRUE,34,FALSE
"B25","B",4,50,FALSE,36,TRUE
"B26","B",9,46,TRUE,36,TRUE
"B27","B",17,46,TRUE,27,TRUE
"B28","B",11,50,FALSE,36,TRUE
"B29","B",2,50,FALSE,48,TRUE
"B30","B",9,50,FALSE,39,TRUE
"B31","B",6,50,FALSE,40,TRUE
"B32","B",9,37,TRUE,27,TRUE
"B33","B",2,50,FALSE,44,TRUE
"B34","B",7,50,FALSE,32,TRUE
"B35","B",9,40,TRUE,30,TRUE
"B36","B",6,50,FALSE,36,TRUE
"C1","C",4,32,TRUE,24,TRUE
"C2","C",9,32,TRUE,21,TRUE
"C3","C",6,32,TRUE,24,TRUE
"C4","C",5,32,TRUE,23,TRUE
"C5","C",0,6,TRUE,6,FALSE
"C6","C",8,32,TRUE,23,TRUE
"C7","C",8,32,TRUE,24,TRUE
"C8","C",5,32,TRUE,23,TRUE
"C9","C",7,32,TRUE,20,TRUE
"C10","C",5,31,TRUE,23,TRUE
"C11","C",2,31,TRUE,21,TRUE
"C12","C",6,31,TRUE,19,TRUE
"C13","C",10,31,TRUE,22,TRUE
"C14","C",4,30,TRUE,22,TRUE
"C15","C",8,32,TRUE,23,TRUE
"C16","C",9,30,TRUE,22,TRUE
"C17","C",9,27,TRUE,19,TRUE
"C18","C",4,32,TRUE,23,TRUE
"C19","C",10,32,TRUE,23,TRUE
"C20","C",11,27,TRUE,21,TRUE
"C21","C",15,28,TRUE,15,TRUE
"C22","C",9,32,TRUE,23,TRUE
"C23","C",8,28,TRUE,22,TRUE
"C24","C",9,31,TRUE,15,TRUE
"C25","C",8,32,TRUE,23,TRUE
"C26","C",8,29,TRUE,21,TRUE
"C27","C",11,30,TRUE,18,TRUE
"C28","C",16,27,TRUE,15,TRUE
"C29","C",4,32,TRUE,24,TRUE
"C30","C",4,32,TRUE,27,TRUE
"C31","C",4,30,TRUE,23,TRUE
"C32","C",10,32,TRUE,19,TRUE
"C33","C",7,32,TRUE,19,TRUE
"C34","C",5,31,TRUE,21,TRUE
"C35","C",10,32,TRUE,21,TRUE
"C36","C",6,27,TRUE,17,TRUE
