"","age","sex","year","deaths","id"
"2.1969",0,"women",1969,491,2
"1.1969",0,"men",1969,773,1
"4.1969",1,"women",1969,33,4
"3.1969",1,"men",1969,45,3
"6.1969",2,"women",1969,22,6
"5.1969",2,"men",1969,43,5
"8.1969",3,"women",1969,25,8
"7.1969",3,"men",1969,30,7
"10.1969",4,"women",1969,25,10
"9.1969",4,"men",1969,46,9
"12.1969",5,"women",1969,16,12
"11.1969",5,"men",1969,30,11
"14.1969",6,"women",1969,16,14
"13.1969",6,"men",1969,32,13
"16.1969",7,"women",1969,18,16
"15.1969",7,"men",1969,27,15
"18.1969",8,"women",1969,18,18
"17.1969",8,"men",1969,21,17
"20.1969",9,"women",1969,8,20
"19.1969",9,"men",1969,21,19
"22.1969",10,"women",1969,8,22
"21.1969",10,"men",1969,12,21
"24.1969",11,"women",1969,10,24
"23.1969",11,"men",1969,21,23
"26.1969",12,"women",1969,8,26
"25.1969",12,"men",1969,24,25
"28.1969",13,"women",1969,16,28
"27.1969",13,"men",1969,11,27
"30.1969",14,"women",1969,13,30
"29.1969",14,"men",1969,15,29
"32.1969",15,"women",1969,16,32
"31.1969",15,"men",1969,49,31
"34.1969",16,"women",1969,26,34
"33.1969",16,"men",1969,49,33
"36.1969",17,"women",1969,17,36
"35.1969",17,"men",1969,50,35
"38.1969",18,"women",1969,24,38
"37.1969",18,"men",1969,47,37
"40.1969",19,"women",1969,34,40
"39.1969",19,"men",1969,75,39
"42.1969",20,"women",1969,29,42
"41.1969",20,"men",1969,76,41
"44.1969",21,"women",1969,20,44
"43.1969",21,"men",1969,53,43
"46.1969",22,"women",1969,31,46
"45.1969",22,"men",1969,71,45
"48.1969",23,"women",1969,37,48
"47.1969",23,"men",1969,84,47
"50.1969",24,"women",1969,27,50
"49.1969",24,"men",1969,77,49
"52.1969",25,"women",1969,32,52
"51.1969",25,"men",1969,79,51
"54.1969",26,"women",1969,31,54
"53.1969",26,"men",1969,73,53
"56.1969",27,"women",1969,27,56
"55.1969",27,"men",1969,63,55
"58.1969",28,"women",1969,28,58
"57.1969",28,"men",1969,62,57
"60.1969",29,"women",1969,25,60
"59.1969",29,"men",1969,76,59
"62.1969",30,"women",1969,37,62
"61.1969",30,"men",1969,71,61
"64.1969",31,"women",1969,34,64
"63.1969",31,"men",1969,57,63
"66.1969",32,"women",1969,34,66
"65.1969",32,"men",1969,71,65
"68.1969",33,"women",1969,28,68
"67.1969",33,"men",1969,69,67
"70.1969",34,"women",1969,42,70
"69.1969",34,"men",1969,73,69
"72.1969",35,"women",1969,40,72
"71.1969",35,"men",1969,65,71
"74.1969",36,"women",1969,38,74
"73.1969",36,"men",1969,76,73
"76.1969",37,"women",1969,52,76
"75.1969",37,"men",1969,85,75
"78.1969",38,"women",1969,51,78
"77.1969",38,"men",1969,101,77
"80.1969",39,"women",1969,63,80
"79.1969",39,"men",1969,88,79
"82.1969",40,"women",1969,76,82
"81.1969",40,"men",1969,117,81
"84.1969",41,"women",1969,59,84
"83.1969",41,"men",1969,112,83
"86.1969",42,"women",1969,92,86
"85.1969",42,"men",1969,137,85
"88.1969",43,"women",1969,108,88
"87.1969",43,"men",1969,141,87
"90.1969",44,"women",1969,112,90
"89.1969",44,"men",1969,155,89
"92.1969",45,"women",1969,123,92
"91.1969",45,"men",1969,186,91
"94.1969",46,"women",1969,129,94
"93.1969",46,"men",1969,211,93
"96.1969",47,"women",1969,158,96
"95.1969",47,"men",1969,231,95
"98.1969",48,"women",1969,175,98
"97.1969",48,"men",1969,272,97
"100.1969",49,"women",1969,171,100
"99.1969",49,"men",1969,286,99
"102.1969",50,"women",1969,160,102
"101.1969",50,"men",1969,240,101
"104.1969",51,"women",1969,189,104
"103.1969",51,"men",1969,335,103
"106.1969",52,"women",1969,193,106
"105.1969",52,"men",1969,308,105
"108.1969",53,"women",1969,223,108
"107.1969",53,"men",1969,359,107
"110.1969",54,"women",1969,256,110
"109.1969",54,"men",1969,400,109
"112.1969",55,"women",1969,299,112
"111.1969",55,"men",1969,428,111
"114.1969",56,"women",1969,285,114
"113.1969",56,"men",1969,488,113
"116.1969",57,"women",1969,312,116
"115.1969",57,"men",1969,565,115
"118.1969",58,"women",1969,354,118
"117.1969",58,"men",1969,607,117
"120.1969",59,"women",1969,340,120
"119.1969",59,"men",1969,696,119
"122.1969",60,"women",1969,430,122
"121.1969",60,"men",1969,671,121
"124.1969",61,"women",1969,477,124
"123.1969",61,"men",1969,770,123
"126.1969",62,"women",1969,523,126
"125.1969",62,"men",1969,866,125
"128.1969",63,"women",1969,526,128
"127.1969",63,"men",1969,917,127
"130.1969",64,"women",1969,564,130
"129.1969",64,"men",1969,938,129
"132.1969",65,"women",1969,546,132
"131.1969",65,"men",1969,937,131
"134.1969",66,"women",1969,652,134
"133.1969",66,"men",1969,1067,133
"136.1969",67,"women",1969,689,136
"135.1969",67,"men",1969,1144,135
"138.1969",68,"women",1969,764,138
"137.1969",68,"men",1969,1213,137
"140.1969",69,"women",1969,818,140
"139.1969",69,"men",1969,1213,139
"142.1969",70,"women",1969,920,142
"141.1969",70,"men",1969,1270,141
"144.1969",71,"women",1969,1020,144
"143.1969",71,"men",1969,1314,143
"146.1969",72,"women",1969,1081,146
"145.1969",72,"men",1969,1380,145
"148.1969",73,"women",1969,1156,148
"147.1969",73,"men",1969,1425,147
"150.1969",74,"women",1969,1244,150
"149.1969",74,"men",1969,1530,149
"152.1969",75,"women",1969,1258,152
"151.1969",75,"men",1969,1441,151
"154.1969",76,"women",1969,1279,154
"153.1969",76,"men",1969,1428,153
"156.1969",77,"women",1969,1393,156
"155.1969",77,"men",1969,1464,155
"158.1969",78,"women",1969,1466,158
"157.1969",78,"men",1969,1401,157
"160.1969",79,"women",1969,1480,160
"159.1969",79,"men",1969,1387,159
"162.1969",80,"women",1969,1434,162
"161.1969",80,"men",1969,1402,161
"164.1969",81,"women",1969,1510,164
"163.1969",81,"men",1969,1367,163
"166.1969",82,"women",1969,1452,166
"165.1969",82,"men",1969,1262,165
"168.1969",83,"women",1969,1436,168
"167.1969",83,"men",1969,1240,167
"170.1969",84,"women",1969,1356,170
"169.1969",84,"men",1969,1087,169
"172.1969",85,"women",1969,1244,172
"171.1969",85,"men",1969,996,171
"174.1969",86,"women",1969,1109,174
"173.1969",86,"men",1969,913,173
"176.1969",87,"women",1969,979,176
"175.1969",87,"men",1969,766,175
"178.1969",88,"women",1969,857,178
"177.1969",88,"men",1969,638,177
"180.1969",89,"women",1969,762,180
"179.1969",89,"men",1969,623,179
"182.1969",90,"women",1969,625,182
"181.1969",90,"men",1969,473,181
"184.1969",91,"women",1969,474,184
"183.1969",91,"men",1969,378,183
"186.1969",92,"women",1969,399,186
"185.1969",92,"men",1969,298,185
"188.1969",93,"women",1969,302,188
"187.1969",93,"men",1969,240,187
"190.1969",94,"women",1969,228,190
"189.1969",94,"men",1969,152,189
"192.1969",95,"women",1969,178,192
"191.1969",95,"men",1969,88,191
"194.1969",96,"women",1969,111,194
"193.1969",96,"men",1969,72,193
"196.1969",97,"women",1969,69,196
"195.1969",97,"men",1969,43,195
"198.1969",98,"women",1969,50,198
"197.1969",98,"men",1969,29,197
"200.1969",99,"women",1969,38,200
"199.1969",99,"men",1969,17,199
"202.1969",100,"women",1969,36,202
"201.1969",100,"men",1969,14,201
"2.1970",0,"women",1970,501,2
"1.1970",0,"men",1970,711,1
"4.1970",1,"women",1970,29,4
"3.1970",1,"men",1970,45,3
"6.1970",2,"women",1970,24,6
"5.1970",2,"men",1970,31,5
"8.1970",3,"women",1970,26,8
"7.1970",3,"men",1970,41,7
"10.1970",4,"women",1970,15,10
"9.1970",4,"men",1970,40,9
"12.1970",5,"women",1970,27,12
"11.1970",5,"men",1970,36,11
"14.1970",6,"women",1970,27,14
"13.1970",6,"men",1970,17,13
"16.1970",7,"women",1970,18,16
"15.1970",7,"men",1970,27,15
"18.1970",8,"women",1970,12,18
"17.1970",8,"men",1970,26,17
"20.1970",9,"women",1970,15,20
"19.1970",9,"men",1970,24,19
"22.1970",10,"women",1970,14,22
"21.1970",10,"men",1970,18,21
"24.1970",11,"women",1970,7,24
"23.1970",11,"men",1970,23,23
"26.1970",12,"women",1970,9,26
"25.1970",12,"men",1970,9,25
"28.1970",13,"women",1970,14,28
"27.1970",13,"men",1970,20,27
"30.1970",14,"women",1970,11,30
"29.1970",14,"men",1970,25,29
"32.1970",15,"women",1970,23,32
"31.1970",15,"men",1970,40,31
"34.1970",16,"women",1970,18,34
"33.1970",16,"men",1970,52,33
"36.1970",17,"women",1970,28,36
"35.1970",17,"men",1970,39,35
"38.1970",18,"women",1970,32,38
"37.1970",18,"men",1970,62,37
"40.1970",19,"women",1970,25,40
"39.1970",19,"men",1970,74,39
"42.1970",20,"women",1970,25,42
"41.1970",20,"men",1970,72,41
"44.1970",21,"women",1970,26,44
"43.1970",21,"men",1970,69,43
"46.1970",22,"women",1970,37,46
"45.1970",22,"men",1970,74,45
"48.1970",23,"women",1970,34,48
"47.1970",23,"men",1970,69,47
"50.1970",24,"women",1970,31,50
"49.1970",24,"men",1970,82,49
"52.1970",25,"women",1970,37,52
"51.1970",25,"men",1970,53,51
"54.1970",26,"women",1970,30,54
"53.1970",26,"men",1970,88,53
"56.1970",27,"women",1970,35,56
"55.1970",27,"men",1970,75,55
"58.1970",28,"women",1970,25,58
"57.1970",28,"men",1970,70,57
"60.1970",29,"women",1970,26,60
"59.1970",29,"men",1970,72,59
"62.1970",30,"women",1970,29,62
"61.1970",30,"men",1970,78,61
"64.1970",31,"women",1970,29,64
"63.1970",31,"men",1970,79,63
"66.1970",32,"women",1970,25,66
"65.1970",32,"men",1970,63,65
"68.1970",33,"women",1970,36,68
"67.1970",33,"men",1970,63,67
"70.1970",34,"women",1970,34,70
"69.1970",34,"men",1970,68,69
"72.1970",35,"women",1970,42,72
"71.1970",35,"men",1970,71,71
"74.1970",36,"women",1970,38,74
"73.1970",36,"men",1970,74,73
"76.1970",37,"women",1970,59,76
"75.1970",37,"men",1970,81,75
"78.1970",38,"women",1970,56,78
"77.1970",38,"men",1970,79,77
"80.1970",39,"women",1970,52,80
"79.1970",39,"men",1970,85,79
"82.1970",40,"women",1970,81,82
"81.1970",40,"men",1970,107,81
"84.1970",41,"women",1970,49,84
"83.1970",41,"men",1970,125,83
"86.1970",42,"women",1970,76,86
"85.1970",42,"men",1970,130,85
"88.1970",43,"women",1970,99,88
"87.1970",43,"men",1970,128,87
"90.1970",44,"women",1970,97,90
"89.1970",44,"men",1970,162,89
"92.1970",45,"women",1970,110,92
"91.1970",45,"men",1970,188,91
"94.1970",46,"women",1970,114,94
"93.1970",46,"men",1970,174,93
"96.1970",47,"women",1970,129,96
"95.1970",47,"men",1970,219,95
"98.1970",48,"women",1970,156,98
"97.1970",48,"men",1970,246,97
"100.1970",49,"women",1970,197,100
"99.1970",49,"men",1970,298,99
"102.1970",50,"women",1970,211,102
"101.1970",50,"men",1970,305,101
"104.1970",51,"women",1970,184,104
"103.1970",51,"men",1970,306,103
"106.1970",52,"women",1970,197,106
"105.1970",52,"men",1970,344,105
"108.1970",53,"women",1970,226,108
"107.1970",53,"men",1970,359,107
"110.1970",54,"women",1970,229,110
"109.1970",54,"men",1970,384,109
"112.1970",55,"women",1970,253,112
"111.1970",55,"men",1970,417,111
"114.1970",56,"women",1970,272,114
"113.1970",56,"men",1970,495,113
"116.1970",57,"women",1970,287,116
"115.1970",57,"men",1970,570,115
"118.1970",58,"women",1970,346,118
"117.1970",58,"men",1970,569,117
"120.1970",59,"women",1970,343,120
"119.1970",59,"men",1970,604,119
"122.1970",60,"women",1970,416,122
"121.1970",60,"men",1970,733,121
"124.1970",61,"women",1970,433,124
"123.1970",61,"men",1970,780,123
"126.1970",62,"women",1970,464,126
