"","age","sex","year","pop","id"
"102.1969",0,"women",1969,52673,102
"1.1969",0,"men",1969,55728,1
"103.1969",1,"women",1969,56831,103
"2.1969",1,"men",1969,59924,2
"104.1969",2,"women",1969,58994.5,104
"3.1969",2,"men",1969,62502.5,3
"105.1969",3,"women",1969,59474,105
"4.1969",3,"men",1969,62958.5,4
"106.1969",4,"women",1969,59739.5,106
"5.1969",4,"men",1969,62836,5
"107.1969",5,"women",1969,57410.5,107
"6.1969",5,"men",1969,60533,6
"108.1969",6,"women",1969,53648.5,108
"7.1969",6,"men",1969,56682,7
"109.1969",7,"women",1969,51663.5,109
"8.1969",7,"men",1969,54421,8
"110.1969",8,"women",1969,50535.5,110
"9.1969",8,"men",1969,53092.5,9
"111.1969",9,"women",1969,50402.5,111
"10.1969",9,"men",1969,53230.5,10
"112.1969",10,"women",1969,50886.5,112
"11.1969",10,"men",1969,54102.5,11
"113.1969",11,"women",1969,51616,113
"12.1969",11,"men",1969,54293,12
"114.1969",12,"women",1969,52084.5,114
"13.1969",12,"men",1969,55117.5,13
"115.1969",13,"women",1969,52029.5,115
"14.1969",13,"men",1969,55288.5,14
"116.1969",14,"women",1969,51548.5,116
"15.1969",14,"men",1969,54325,15
"117.1969",15,"women",1969,52115.5,117
"16.1969",15,"men",1969,54987.5,16
"118.1969",16,"women",1969,53343,118
"17.1969",16,"men",1969,56184.5,17
"119.1969",17,"women",1969,53719.5,119
"18.1969",17,"men",1969,56259.5,18
"120.1969",18,"women",1969,55369.5,120
"19.1969",18,"men",1969,58036,19
"121.1969",19,"women",1969,58729,121
"20.1969",19,"men",1969,61054.5,20
"122.1969",20,"women",1969,62331.5,122
"21.1969",20,"men",1969,63616.5,21
"123.1969",21,"women",1969,64506.5,123
"22.1969",21,"men",1969,66659,22
"124.1969",22,"women",1969,65876,124
"23.1969",22,"men",1969,68844,23
"125.1969",23,"women",1969,66654,125
"24.1969",23,"men",1969,70327,24
"126.1969",24,"women",1969,66203,126
"25.1969",24,"men",1969,70537,25
"127.1969",25,"women",1969,63994.5,127
"26.1969",25,"men",1969,68503,26
"128.1969",26,"women",1969,59454,128
"27.1969",26,"men",1969,63998.5,27
"129.1969",27,"women",1969,53695.5,129
"28.1969",27,"men",1969,58127.5,28
"130.1969",28,"women",1969,49464.5,130
"29.1969",28,"men",1969,53576,29
"131.1969",29,"women",1969,48813,131
"30.1969",29,"men",1969,52392.5,30
"132.1969",30,"women",1969,48453,132
"31.1969",30,"men",1969,51582,31
"133.1969",31,"women",1969,46521.5,133
"32.1969",31,"men",1969,49419,32
"134.1969",32,"women",1969,45222.5,134
"33.1969",32,"men",1969,47661.5,33
"135.1969",33,"women",1969,43912.5,135
"34.1969",33,"men",1969,46216.5,34
"136.1969",34,"women",1969,42880.5,136
"35.1969",34,"men",1969,44918,35
"137.1969",35,"women",1969,42568,137
"36.1969",35,"men",1969,44074.5,36
"138.1969",36,"women",1969,43465,138
"37.1969",36,"men",1969,44659.5,37
"139.1969",37,"women",1969,44813,139
"38.1969",37,"men",1969,45590,38
"140.1969",38,"women",1969,45665,140
"39.1969",38,"men",1969,46196,39
"141.1969",39,"women",1969,45907.5,141
"40.1969",39,"men",1969,46409,40
"142.1969",40,"women",1969,46479,142
"41.1969",40,"men",1969,46892.5,41
"143.1969",41,"women",1969,47099,143
"42.1969",41,"men",1969,47532.5,42
"144.1969",42,"women",1969,47527.5,144
"43.1969",42,"men",1969,47987,43
"145.1969",43,"women",1969,49183,145
"44.1969",43,"men",1969,49650,44
"146.1969",44,"women",1969,50542,146
"45.1969",44,"men",1969,50898,45
"147.1969",45,"women",1969,51522.5,147
"46.1969",45,"men",1969,52033.5,46
"148.1969",46,"women",1969,52512,148
"47.1969",46,"men",1969,53038,47
"149.1969",47,"women",1969,54971,149
"48.1969",47,"men",1969,55281.5,48
"150.1969",48,"women",1969,58747.5,150
"49.1969",48,"men",1969,59211,49
"151.1969",49,"women",1969,55112.5,151
"50.1969",49,"men",1969,55769,50
"152.1969",50,"women",1969,49848,152
"51.1969",50,"men",1969,50298.5,51
"153.1969",51,"women",1969,50422,153
"52.1969",51,"men",1969,50532.5,52
"154.1969",52,"women",1969,50526,154
"53.1969",52,"men",1969,50682.5,53
"155.1969",53,"women",1969,50169.5,155
"54.1969",53,"men",1969,50180,54
"156.1969",54,"women",1969,51119.5,156
"55.1969",54,"men",1969,50739.5,55
"157.1969",55,"women",1969,51912,157
"56.1969",55,"men",1969,51655.5,56
"158.1969",56,"women",1969,52005.5,158
"57.1969",56,"men",1969,51841,57
"159.1969",57,"women",1969,51595,159
"58.1969",57,"men",1969,51301.5,58
"160.1969",58,"women",1969,50783,160
"59.1969",58,"men",1969,50529.5,59
"161.1969",59,"women",1969,51081.5,161
"60.1969",59,"men",1969,50334.5,60
"162.1969",60,"women",1969,50816.5,162
"61.1969",60,"men",1969,49317,61
"163.1969",61,"women",1969,49341,163
"62.1969",61,"men",1969,47239,62
"164.1969",62,"women",1969,47909.5,164
"63.1969",62,"men",1969,45417,63
"165.1969",63,"women",1969,46663.5,165
"64.1969",63,"men",1969,43266.5,64
"166.1969",64,"women",1969,45145.5,166
"65.1969",64,"men",1969,41294.5,65
"167.1969",65,"women",1969,43485,167
"66.1969",65,"men",1969,39627.5,66
"168.1969",66,"women",1969,42614.5,168
"67.1969",66,"men",1969,38213,67
"169.1969",67,"women",1969,41798.5,169
"68.1969",67,"men",1969,37063,68
"170.1969",68,"women",1969,40316,170
"69.1969",68,"men",1969,35136.5,69
"171.1969",69,"women",1969,38080,171
"70.1969",69,"men",1969,32528.5,70
"172.1969",70,"women",1969,36185.5,172
"71.1969",70,"men",1969,30630,71
"173.1969",71,"women",1969,34527,173
"72.1969",71,"men",1969,28996.5,72
"174.1969",72,"women",1969,32675,174
"73.1969",72,"men",1969,27150,73
"175.1969",73,"women",1969,31188,175
"74.1969",73,"men",1969,25425.5,74
"176.1969",74,"women",1969,29336.5,176
"75.1969",74,"men",1969,23107,75
"177.1969",75,"women",1969,27297.5,177
"76.1969",75,"men",1969,21110.5,76
"178.1969",76,"women",1969,25285.5,178
"77.1969",76,"men",1969,19314,77
"179.1969",77,"women",1969,23497.5,179
"78.1969",77,"men",1969,17550.5,78
"180.1969",78,"women",1969,21457.5,180
"79.1969",78,"men",1969,15850.5,79
"181.1969",79,"women",1969,19102,181
"80.1969",79,"men",1969,13928.5,80
"182.1969",80,"women",1969,17354.5,182
"81.1969",80,"men",1969,12538,81
"183.1969",81,"women",1969,15816,183
"82.1969",81,"men",1969,11295,82
"184.1969",82,"women",1969,13969.5,184
"83.1969",82,"men",1969,9976.5,83
"185.1969",83,"women",1969,11987,185
"84.1969",83,"men",1969,8563,84
"186.1969",84,"women",1969,10227.5,186
"85.1969",84,"men",1969,7222,85
"187.1969",85,"women",1969,8448,187
"86.1969",85,"men",1969,5811,86
"188.1969",86,"women",1969,6721.5,188
"87.1969",86,"men",1969,4582.5,87
"189.1969",87,"women",1969,5405,189
"88.1969",87,"men",1969,3632.5,88
"190.1969",88,"women",1969,4364,190
"89.1969",88,"men",1969,2884.5,89
"191.1969",89,"women",1969,3499.5,191
"90.1969",89,"men",1969,2292.5,90
"192.1969",90,"women",1969,2667,192
"91.1969",90,"men",1969,1727,91
"193.1969",91,"women",1969,1954.5,193
"92.1969",91,"men",1969,1308.5,92
"194.1969",92,"women",1969,1442,194
"93.1969",92,"men",1969,926,93
"195.1969",93,"women",1969,1025,195
"94.1969",93,"men",1969,611,94
"196.1969",94,"women",1969,693.5,196
"95.1969",94,"men",1969,409,95
"197.1969",95,"women",1969,470.5,197
"96.1969",95,"men",1969,264.5,96
"198.1969",96,"women",1969,313.5,198
"97.1969",96,"men",1969,161.5,97
"199.1969",97,"women",1969,199,199
"98.1969",97,"men",1969,88,98
"200.1969",98,"women",1969,118,200
"99.1969",98,"men",1969,53,99
"201.1969",99,"women",1969,62,201
"100.1969",99,"men",1969,28,100
"202.1969",100,"women",1969,76.5,202
"101.1969",100,"men",1969,31.5,101
"102.1970",0,"women",1970,52055.5,102
"1.1970",0,"men",1970,55034,1
"103.1970",1,"women",1970,53862,103
"2.1970",1,"men",1970,56849,2
"104.1970",2,"women",1970,57387.5,104
"3.1970",2,"men",1970,60503,3
"105.1970",3,"women",1970,59486.5,105
"4.1970",3,"men",1970,63036,4
"106.1970",4,"women",1970,59901,106
