"","rat","time1","time2","del","gp","time"
"1",1,0,182,1,1,182
"2",2,0,182,0,1,182
"3",3,0,63,1,1,63
"4",3,63,68,1,1,5
"5",3,68,182,0,1,114
"6",4,0,152,1,1,152
"7",4,152,182,0,1,30
"8",5,0,130,1,1,130
"9",5,130,134,1,1,4
"10",5,134,145,1,1,11
"11",5,145,152,1,1,7
"12",5,152,182,0,1,30
"13",6,0,98,1,1,98
"14",6,98,152,1,1,54
"15",6,152,182,1,1,30
"16",7,0,88,1,1,88
"17",7,88,95,1,1,7
"18",7,95,105,1,1,10
"19",7,105,130,1,1,25
"20",7,130,137,1,1,7
"21",7,137,167,1,1,30
"22",7,167,182,0,1,15
"23",8,0,152,1,1,152
"24",8,152,182,0,1,30
"25",9,0,81,1,1,81
"26",9,81,182,0,1,101
"27",10,0,71,1,1,71
"28",10,71,84,1,1,13
"29",10,84,126,1,1,42
"30",10,126,134,1,1,8
"31",10,134,152,1,1,18
"32",10,152,182,0,1,30
"33",11,0,116,1,1,116
"34",11,116,130,1,1,14
"35",11,130,182,0,1,52
"36",12,0,91,1,1,91
"37",12,91,182,0,1,91
"38",13,0,63,1,1,63
"39",13,63,68,1,1,5
"40",13,68,84,1,1,16
"41",13,84,95,1,1,11
"42",13,95,152,1,1,57
"43",13,152,182,0,1,30
"44",14,0,105,1,1,105
"45",14,105,152,1,1,47
"46",14,152,182,0,1,30
"47",15,0,63,1,1,63
"48",15,63,102,1,1,39
"49",15,102,152,1,1,50
"50",15,152,182,0,1,30
"51",16,0,63,1,1,63
"52",16,63,77,1,1,14
"53",16,77,112,1,1,35
"54",16,112,140,1,1,28
"55",16,140,182,0,1,42
"56",17,0,77,1,1,77
"57",17,77,119,1,1,42
"58",17,119,152,1,1,33
"59",17,152,161,1,1,9
"60",17,161,167,1,1,6
"61",17,167,182,0,1,15
"62",18,0,105,1,1,105
"63",18,105,112,1,1,7
"64",18,112,145,1,1,33
"65",18,145,161,1,1,16
"66",18,161,182,1,1,21
"67",19,0,152,1,1,152
"68",19,152,182,0,1,30
"69",20,0,81,1,1,81
"70",20,81,95,1,1,14
"71",20,95,182,0,1,87
"72",21,0,84,1,1,84
"73",21,84,91,1,1,7
"74",21,91,102,1,1,11
"75",21,102,108,1,1,6
"76",21,108,130,1,1,22
"77",21,130,134,1,1,4
"78",21,134,182,0,1,48
