"","serial","model","time","status","temp","rsc","rer","psc"
"1","PL1331LAGAEJ8H","HGST HDS5C4040ALE630",172.5,0,33,0,0,0
"2","PL1331LAGB5EHH","HGST HDS5C4040ALE630",174.291666666667,0,28,0,0,0
"3","PL1331LAGBKTUH","HGST HDS5C4040ALE630",174.291666666667,0,28,0,0,0
"4","PL1331LAGBTYRH","HGST HDS5C4040ALE630",194.416666666667,0,31,0,0,0
"5","PL1331LAGEDLSH","HGST HDS5C4040ALE630",174.291666666667,0,29,0,0,0
"6","PL1331LAGEW2LH","HGST HDS5C4040ALE630",172.5,0,33,0,0,0
"7","PL1331LAGKL0YH","HGST HDS5C4040ALE630",6.54166666666667,0,24,0,0,0
"8","PL2331LAGJ5HRJ","HGST HDS5C4040ALE630",4.58333333333333,0,28,0,0,0
"9","PK1331PAHZZM2S","HGST HDS724040ALE640",559.166666666667,0,31,0,0,0
"10","PK1331PAJ286ES","HGST HDS724040ALE640",559.166666666667,0,30,0,0,0
"11","PK1331PAJ28L1S","HGST HDS724040ALE640",559.166666666667,0,27,0,0,0
"12","PK1331PAJ2A5YS","HGST HDS724040ALE640",559.166666666667,0,30,0,0,0
"13","PK1331PAJ2L8TS","HGST HDS724040ALE640",559.166666666667,0,25,0,0,0
"14","PK1331PAJ2NLDS","HGST HDS724040ALE640",559.166666666667,0,29,0,0,0
"15","PK1331PAJ2NU0S","HGST HDS724040ALE640",559.166666666667,0,28,0,0,0
"16","PK1331PAJ2TKDS","HGST HDS724040ALE640",559.166666666667,0,28,0,0,0
"17","PK1331PAJ2U6XS","HGST HDS724040ALE640",559.166666666667,0,26,0,0,0
"18","PK1331PAJ2U9WS","HGST HDS724040ALE640",559.166666666667,0,29,0,0,0
"19","PK1331PAJ2V6WS","HGST HDS724040ALE640",559.166666666667,0,30,0,0,0
"20","PK1331PAJ2VBHS","HGST HDS724040ALE640",559.166666666667,0,26,0,0,0
"21","PK1331PAJ30TUS","HGST HDS724040ALE640",559.125,0,28,0,0,0
"22","PK1331PAJ314KS","HGST HDS724040ALE640",559.166666666667,0,29,0,0,0
"23","PK1331PAJ315NS","HGST HDS724040ALE640",559.166666666667,0,30,0,0,0
"24","PK1331PAJ31JJS","HGST HDS724040ALE640",559.166666666667,0,29,0,0,0
"25","PK1331PAJ31K5S","HGST HDS724040ALE640",559.166666666667,0,28,0,0,0
"26","PK1331PAJ31L8S","HGST HDS724040ALE640",559.166666666667,0,29,0,0,0
"27","PK1331PAJ31VNS","HGST HDS724040ALE640",559.166666666667,0,25,0,0,0
"28","PK1331PAJ32H1S","HGST HDS724040ALE640",559.166666666667,0,28,0,0,0
"29","PK1331PAJ32J4S","HGST HDS724040ALE640",559.166666666667,0,28,0,0,0
"30","PK1331PAJ3391S","HGST HDS724040ALE640",559.166666666667,0,31,0,0,0
"31","PK1331PAJ33BDS","HGST HDS724040ALE640",559.166666666667,0,26,0,0,0
"32","PK1331PAJ33M0S","HGST HDS724040ALE640",559.166666666667,0,25,0,0,0
"33","PK1331PAJ33Z7S","HGST HDS724040ALE640",559.166666666667,0,26,0,0,0
"34","PK1331PAJ349YS","HGST HDS724040ALE640",559.166666666667,0,32,0,0,0
"35","PK1331PAJ356BS","HGST HDS724040ALE640",559.166666666667,0,30,0,0,0
"36","PK1331PAJ35GSS","HGST HDS724040ALE640",559.166666666667,0,30,0,0,0
"37","PK1331PAJ35HDS","HGST HDS724040ALE640",559.166666666667,0,30,0,0,0
"38","PK1331PAJ35HMS","HGST HDS724040ALE640",559.166666666667,0,27,0,0,0
"39","PK1331PAJ35RHS","HGST HDS724040ALE640",559.166666666667,0,25,0,0,0
"40","PK1331PAJ35SXS","HGST HDS724040ALE640",559.166666666667,0,28,0,0,0
"41","PK1331PAJ3669S","HGST HDS724040ALE640",559.166666666667,0,28,0,0,0
"42","PK1331PAJ36UKS","HGST HDS724040ALE640",559.166666666667,0,27,0,0,0
"43","PK1331PAJ36ZNS","HGST HDS724040ALE640",559.166666666667,0,31,0,0,0
"44","PK1331PAJ38XES","HGST HDS724040ALE640",559.166666666667,0,29,0,0,0
"45","PK1331PAJ3A0WS","HGST HDS724040ALE640",559.166666666667,0,29,0,0,0
"46","PK1331PAJ3A4BS","HGST HDS724040ALE640",559.166666666667,0,30,0,0,0
"47","PK1331PAJ3A5YS","HGST HDS724040ALE640",559.166666666667,0,30,0,0,0
"48","PK1331PAJ3AD1S","HGST HDS724040ALE640",559.166666666667,0,29,0,0,0
"49","PK1331PAJ3HXSS","HGST HDS724040ALE640",559.166666666667,0,30,0,0,0
"50","PK1331PAJ3KB0S","HGST HDS724040ALE640",559.166666666667,0,27,0,0,0
"51","PL1331LAG4013H","HGST HMS5C4040ALE640",866.583333333333,0,33,0,0,0
"52","PL1331LAG40AJH","HGST HMS5C4040ALE640",866.583333333333,0,32,0,0,0
"53","PL1331LAG5AR5H","HGST HMS5C4040ALE640",866.583333333333,0,34,0,0,0
"54","PL1331LAG5ASPH","HGST HMS5C4040ALE640",277.75,0,31,0,0,0
"55","PL1331LAG5AUYH","HGST HMS5C4040ALE640",866.583333333333,0,30,0,0,0
"56","PL1331LAG5AV3H","HGST HMS5C4040ALE640",866.541666666667,0,33,0,0,0
"57","PL1331LAG5AW1H","HGST HMS5C4040ALE640",559.166666666667,0,23,0,0,0
"58","PL1331LAG5AWEH","HGST HMS5C4040ALE640",866.541666666667,0,31,0,0,0
"59","PL1331LAG5AWGH","HGST HMS5C4040ALE640",866.541666666667,0,34,0,0,0
"60","PL1331LAG5AWTH","HGST HMS5C4040ALE640",866.541666666667,0,33,0,0,0
"61","PL1331LAG5AWVH","HGST HMS5C4040ALE640",866.541666666667,0,32,0,0,0
"62","PL1331LAG5AXBH","HGST HMS5C4040ALE640",866.541666666667,0,32,0,0,0
"63","PL1331LAG5AXTH","HGST HMS5C4040ALE640",866.541666666667,0,34,0,0,0
"64","PL1331LAG5AXUH","HGST HMS5C4040ALE640",866.583333333333,0,31,0,0,0
"65","PL1331LAG5AY0H","HGST HMS5C4040ALE640",866.583333333333,0,31,0,0,0
"66","PL1331LAG5AY6H","HGST HMS5C4040ALE640",866.541666666667,0,33,0,0,0
"67","PL1331LAG5AY7H","HGST HMS5C4040ALE640",866.625,0,31,0,0,0
"68","PL1331LAG5AYDH","HGST HMS5C4040ALE640",866.583333333333,0,34,0,0,0
"69","PL1331LAG5AYHH","HGST HMS5C4040ALE640",559.166666666667,0,24,0,0,0
"70","PL1331LAG5AYJH","HGST HMS5C4040ALE640",866.583333333333,0,33,0,0,0
"71","PL1331LAG5AYLH","HGST HMS5C4040ALE640",866.583333333333,0,31,0,0,0
"72","PL1331LAG5AYYH","HGST HMS5C4040ALE640",866.583333333333,0,31,0,0,0
"73","PL1331LAG5AZ0H","HGST HMS5C4040ALE640",866.583333333333,0,33,0,0,0
"74","PL1331LAG5AZ7H","HGST HMS5C4040ALE640",866.541666666667,0,32,0,0,0
"75","PL1331LAG5AZGH","HGST HMS5C4040ALE640",866.583333333333,0,31,0,0,0
"76","PL1331LAG5AZNH","HGST HMS5C4040ALE640",866.583333333333,0,33,0,0,0
"77","PL1331LAG5AZWH","HGST HMS5C4040ALE640",866.583333333333,0,32,0,0,0
"78","PL1331LAG5AZXH","HGST HMS5C4040ALE640",866.541666666667,0,32,0,0,0
"79","PL1331LAG5B04H","HGST HMS5C4040ALE640",866.583333333333,0,32,0,0,0
"80","PL1331LAG5B25H","HGST HMS5C4040ALE640",866.583333333333,0,31,0,0,0
"81","PL1331LAG5B26H","HGST HMS5C4040ALE640",866.583333333333,0,33,0,0,0
"82","PL1331LAG5B32H","HGST HMS5C4040ALE640",866.541666666667,0,33,0,0,0
"83","PL1331LAG5B44H","HGST HMS5C4040ALE640",866.583333333333,0,34,0,0,0
"84","PL1331LAG5B48H","HGST HMS5C4040ALE640",866.541666666667,0,33,0,0,0
"85","PL1331LAG5B53H","HGST HMS5C4040ALE640",866.541666666667,0,33,0,0,0
"86","PL1331LAG5B5KH","HGST HMS5C4040ALE640",866.583333333333,0,33,0,0,0
"87","PL1331LAG5GMJH","HGST HMS5C4040ALE640",866.541666666667,0,33,0,0,0
"88","PL1331LAG5GTDH","HGST HMS5C4040ALE640",866.541666666667,0,33,0,0,0
"89","PL1331LAG5GTSH","HGST HMS5C4040ALE640",559.166666666667,0,23,0,0,0
"90","PL1331LAG5GUHH","HGST HMS5C4040ALE640",866.583333333333,0,31,0,0,0
"91","PL1331LAG5GUKH","HGST HMS5C4040ALE640",866.583333333333,0,30,0,0,0
"92","PL1331LAG5GV0H","HGST HMS5C4040ALE640",866.625,0,31,0,0,0
"93","PL1331LAG5GVKH","HGST HMS5C4040ALE640",866.583333333333,0,33,0,0,0
"94","PL1331LAG5GVWH","HGST HMS5C4040ALE640",866.541666666667,0,33,0,0,0
"95","PL1331LAG5GWYH","HGST HMS5C4040ALE640",866.583333333333,0,30,0,0,0
"96","PL1331LAG5GXLH","HGST HMS5C4040ALE640",866.583333333333,0,31,0,0,0
"97","PL1331LAG5GY6H","HGST HMS5C4040ALE640",866.541666666667,0,33,0,0,0
"98","PL1331LAG5GY8H","HGST HMS5C4040ALE640",866.583333333333,0,30,0,0,0
"99","PL1331LAGNK1UH","HGST HMS5C4040ALE640",286.333333333333,0,30,0,0,0
"100","PL1331LAGNPZVH","HGST HMS5C4040ALE640",263.25,0,33,0,0,0
"101","PL1331LAGNS0GH","HGST HMS5C4040ALE640",297.416666666667,0,29,0,0,0
"102","PL1331LAGNT0SH","HGST HMS5C4040ALE640",263.333333333333,0,35,0,0,0
"103","PL1331LAGNT1KH","HGST HMS5C4040ALE640",230.583333333333,0,23,0,0,0
"104","PL1331LAGNT4VH","HGST HMS5C4040ALE640",293.333333333333,0,30,0,0,0
"105","PL1331LAGP466H","HGST HMS5C4040ALE640",286.333333333333,0,28,0,0,0
"106","PL1331LAGP4EVH","HGST HMS5C4040ALE640",263.416666666667,0,25,0,0,0
"107","PL1331LAGP4GSH","HGST HMS5C4040ALE640",262.291666666667,0,30,0,0,0
"108","PL1331LAGP502H","HGST HMS5C4040ALE640",293.333333333333,0,32,0,0,0
"109","PL1331LAGP594H","HGST HMS5C4040ALE640",285.291666666667,0,32,0,0,0
"110","PL1331LAGP5DPH","HGST HMS5C4040ALE640",286.333333333333,0,34,0,0,0
"111","PL1331LAGP5L1H","HGST HMS5C4040ALE640",286.333333333333,0,34,0,0,0
"112","PL1331LAGP5LEH","HGST HMS5C4040ALE640",255.458333333333,0,36,0,0,0
"113","PL1331LAGP67JH","HGST HMS5C4040ALE640",263.416666666667,0,27,0,0,0
"114","PL1331LAGP68KH","HGST HMS5C4040ALE640",297.375,0,29,0,0,0
"115","PL1331LAGP68PH","HGST HMS5C4040ALE640",264.25,0,33,0,0,0
"116","PL1331LAGP69RH","HGST HMS5C4040ALE640",293.333333333333,0,31,0,0,0
"117","PL1331LAGP6HAH","HGST HMS5C4040ALE640",262.291666666667,0,29,0,0,0
"118","PL1331LAGP6JMH","HGST HMS5C4040ALE640",264.25,0,31,0,0,0
"119","PL1331LAGP6KSH","HGST HMS5C4040ALE640",262.25,0,33,0,0,0
"120","PL1331LAGP6MRH","HGST HMS5C4040ALE640",286.375,0,26,0,0,0
"121","PL1331LAGP74RH","HGST HMS5C4040ALE640",297.375,0,26,0,0,0
