"","Cowid","Time","Status","Herd","Timeassess","LogSCC"
"1",1,331,0,1,13,4.09
"2",2,312,0,1,6,4.83
"3",3,96,1,1,11,3.93
"4",4,314,0,1,13,3.76
"5",5,181,1,1,7,6.29
"6",6,331,0,1,11,3.33
"7",7,140,1,1,6,4.19
"8",8,322,0,2,10,4.56
"9",9,338,0,2,6,6.19
"10",10,322,0,3,12,4.72
"11",11,330,0,3,10,4.72
"12",12,311,0,4,6,4.41
"13",13,333,0,4,5,8.37
"14",14,329,1,4,12,4.23
"15",15,312,0,5,7,6.95
"16",16,321,1,5,5,5.85
"17",17,310,0,5,8,8.12
"18",18,333,0,5,13,4.09
"19",19,325,0,6,14,4.84
"20",20,331,0,7,7,4.98
"21",21,330,0,7,6,5
"22",22,333,0,7,7,4.55
"23",23,330,0,7,7,4.98
"24",24,321,0,7,7,4.17
"25",25,318,0,7,13,4.67
"26",26,314,0,7,10,4.7
"27",27,326,0,7,13,4.54
"28",28,327,0,8,9,4.34
"29",29,323,0,8,10,3.22
"30",30,326,0,8,7,6.63
"31",31,333,0,8,7,3.14
"32",32,333,0,8,13,4.14
"33",33,332,0,9,8,6.03
"34",34,325,0,9,6,3.47
"35",35,322,0,10,10,4.83
"36",36,325,0,10,14,6.6
"37",37,324,0,10,11,4.01
"38",38,317,0,11,12,5.55
"39",39,324,0,11,13,3.87
"40",40,104,1,11,13,3.37
"41",41,312,0,11,12,3.78
"42",42,302,1,11,8,5.47
"43",43,319,0,11,12,5.8
"44",44,330,0,11,14,4.39
"45",45,317,0,11,8,4.26
"46",46,321,0,12,10,4.06
"47",47,320,0,12,7,4.48
"48",48,321,0,12,8,2.94
"49",49,265,1,13,14,5.48
"50",50,108,1,13,9,7.17
"51",51,216,1,13,13,3.85
"52",52,320,0,13,9,3.09
"53",53,329,0,13,13,3.93
"54",54,311,0,13,8,4.17
"55",55,243,1,13,6,5.42
"56",56,311,0,14,12,7.72
"57",57,318,0,14,14,3.91
"58",58,333,0,14,6,4.92
"59",59,334,0,15,7,4.95
"60",60,325,0,15,9,3.69
"61",61,317,0,15,11,3.26
"62",62,313,0,15,12,4.26
"63",63,328,0,15,11,6.57
"64",64,325,0,15,14,3.37
"65",65,311,0,15,11,3.83
"66",66,51,1,16,11,2.94
"67",67,336,0,16,11,3.85
"68",68,321,0,16,8,4.53
"69",69,334,0,16,14,5.18
"70",70,323,0,16,10,4.39
"71",71,315,0,16,11,3.26
"72",72,336,0,16,5,4.19
"73",73,310,0,17,12,5.61
"74",74,323,0,17,13,5.78
"75",75,332,0,17,10,6.94
"76",76,163,1,17,12,5.35
"77",77,311,0,17,9,3.87
"78",78,327,0,17,8,5.6
"79",79,317,0,17,9,3.4
"80",80,336,0,18,13,5.65
"81",81,325,0,18,12,4.41
"82",82,332,0,18,12,4.73
"83",83,149,1,18,5,7.62
"84",84,331,0,18,6,7.04
"85",85,314,0,18,12,3.14
"86",86,336,0,18,11,3.81
"87",87,323,0,18,6,4.48
