"","Dogid","Time","Status","Method"
"1",1,35,1,1
"2",2,88,1,1
"3",3,61,1,1
"4",4,36,1,1
"5",5,111,1,1
"6",6,42,1,1
"7",7,63,1,1
"8",8,63,1,1
"9",9,71,1,1
"10",10,75,1,1
"11",11,23,1,1
"12",12,68,1,1
"13",13,44,1,1
"14",14,111,1,1
"15",15,68,1,1
"16",16,111,1,1
"17",17,37,1,1
"18",18,46,1,1
"19",19,63,1,1
"20",20,44,1,1
"21",21,69,1,1
"22",22,42,1,1
"23",23,40,1,1
"24",24,34,1,1
"25",25,75,1,1
"26",26,42,1,1
"27",27,38,1,1
"28",28,29,1,1
"29",29,112,1,1
"30",30,30,1,1
"31",31,33,1,1
"32",32,79,1,1
"33",33,79,1,1
"34",34,23,1,1
"35",35,44,1,1
"36",36,57,1,1
"37",37,57,1,1
"38",38,36,1,1
"39",39,111,1,1
"40",40,14,1,1
"41",41,54,1,1
"42",42,67,1,1
"43",43,55,1,1
"44",44,29,1,1
"45",45,59,1,1
"46",46,28,1,1
"47",47,63,1,1
"48",48,37,1,1
"49",49,46,1,1
"50",50,76,1,1
"51",51,37,1,1
"52",52,96,1,1
"53",53,20,1,1
"54",54,93,1,1
"55",55,29,1,1
"56",56,17,1,1
"57",57,69,1,1
"58",58,64,1,1
"59",59,60,1,1
"60",60,21,1,1
"61",61,32,1,1
"62",62,59,1,1
"63",63,81,1,1
"64",64,37,1,1
"65",65,75,1,1
"66",66,65,1,1
"67",67,71,1,1
"68",68,65,1,1
"69",69,55,1,1
"70",70,35,1,1
"71",71,63,1,1
"72",72,32,1,1
"73",73,49,1,1
"74",74,38,1,1
"75",75,54,1,1
"76",76,54,1,1
"77",77,93,1,1
"78",78,10,1,1
"79",79,86,1,1
"80",80,43,1,1
"81",81,55,1,1
"82",82,75,1,1
"83",83,41,1,1
"84",84,67,1,1
"85",85,46,1,1
"86",86,53,1,1
"87",87,95,1,1
"88",88,65,1,1
"89",89,65,1,1
"90",90,53,1,1
"91",91,68,1,1
"92",92,76,1,1
"93",93,73,1,1
"94",94,40,1,1
"95",95,30,1,1
"96",96,59,1,1
"97",97,48,1,1
"98",98,73,1,1
"99",99,42,1,1
"100",100,24,1,1
"101",101,75,1,1
"102",102,37,1,1
"103",103,46,1,1
"104",104,65,1,1
"105",105,111,1,1
"106",106,40,1,1
"107",1,73,1,0
"108",2,93,1,0
"109",3,66,1,0
"110",4,41,1,0
"111",5,116,1,0
"112",6,47,1,0
"113",7,90,1,0
"114",8,90,1,0
"115",9,76,1,0
"116",10,80,1,0
"117",11,80,1,0
"118",12,73,1,0
"119",13,49,1,0
"120",14,116,1,0
"121",15,73,1,0
"122",16,116,1,0
"123",17,69,1,0
"124",18,51,1,0
"125",19,68,1,0
"126",20,49,1,0
"127",21,101,1,0
"128",22,75,1,0
"129",23,79,1,0
"130",24,39,1,0
"131",25,80,1,0
"132",26,47,1,0
"133",27,43,1,0
"134",28,34,1,0
"135",29,117,1,0
"136",30,96,1,0
"137",31,38,1,0
"138",32,110,1,0
"139",33,110,1,0
"140",34,78,1,0
"141",35,43,1,0
"142",36,88,1,0
"143",37,173,1,0
"144",38,70,1,0
"145",39,116,1,0
"146",40,37,1,0
"147",41,59,1,0
"148",42,72,1,0
"149",43,102,1,0
"150",44,91,1,0
"151",45,64,1,0
"152",46,33,1,0
"153",47,68,1,0
"154",48,42,1,0
"155",49,51,1,0
"156",50,67,1,0
"157",51,137,1,0
"158",52,121,1,0
"159",53,37,1,0
"160",54,98,1,0
"161",55,48,1,0
"162",56,48,1,0
"163",57,104,1,0
"164",58,69,1,0
"165",59,86,1,0
"166",60,36,1,0
"167",61,44,1,0
"168",62,64,1,0
"169",63,86,1,0
"170",64,42,1,0
"171",65,80,1,0
"172",66,70,1,0
"173",67,76,1,0
"174",68,70,1,0
"175",69,68,1,0
"176",70,60,1,0
"177",71,60,1,0
"178",72,37,1,0
"179",73,54,1,0
"180",74,59,1,0
"181",75,99,1,0
"182",76,59,1,0
"183",77,31,1,0
"184",78,98,1,0
"185",79,91,1,0
"186",80,60,1,0
"187",81,48,1,0
"188",82,80,1,0
"189",83,89,1,0
"190",84,72,1,0
"191",85,51,1,0
"192",86,58,1,0
"193",87,100,1,0
"194",88,70,1,0
"195",89,70,1,0
"196",90,108,1,0
"197",91,73,1,0
"198",92,118,1,0
"199",93,78,1,0
"200",94,45,1,0
"201",95,35,1,0
"202",96,64,1,0
"203",97,74,1,0
"204",98,78,1,0
"205",99,47,1,0
"206",100,29,1,0
"207",101,102,1,0
"208",102,76,1,0
"209",103,51,1,0
"210",104,70,1,0
"211",105,116,1,0
"212",106,45,1,0
