"","Cowid","Time","Status","Breed"
"1",1,18,1,0
"2",2,49,1,1
"3",3,365,0,0
"4",4,51,1,0
"5",5,151,1,1
"6",6,110,1,0
"7",7,8,1,1
"8",8,2,1,1
"9",9,35,1,0
"10",10,15,1,1
"11",11,365,0,0
"12",12,60,1,1
"13",13,56,1,1
"14",14,365,0,1
"15",15,19,1,0
"16",16,43,1,1
"17",17,27,1,1
"18",18,236,1,1
"19",19,7,1,1
"20",20,17,1,0
"21",21,5,1,0
"22",22,13,1,1
"23",23,20,1,1
"24",24,365,0,1
"25",25,12,1,1
"26",26,158,1,1
"27",27,6,1,1
"28",28,144,1,1
"29",29,4,1,1
"30",30,6,1,1
"31",31,25,1,0
"32",32,29,1,0
"33",33,150,1,0
"34",34,45,1,1
"35",35,28,1,1
"36",36,3,1,0
"37",37,365,0,1
"38",38,138,1,1
"39",39,18,1,1
"40",40,21,1,1
"41",41,153,1,0
"42",42,79,1,0
"43",43,4,1,0
"44",44,6,1,0
"45",45,34,1,1
"46",46,365,0,0
"47",47,218,1,1
"48",48,11,1,0
"49",49,9,1,0
"50",50,155,1,0
"51",51,9,1,1
"52",52,365,0,1
"53",53,52,1,1
"54",54,139,1,1
"55",55,112,1,1
"56",56,246,1,0
"57",57,157,1,1
"58",58,301,1,0
"59",59,67,1,0
"60",60,49,1,0
"61",61,309,1,1
"62",62,365,0,1
"63",63,269,1,1
"64",64,222,1,0
"65",65,27,1,0
"66",66,76,1,0
"67",67,54,1,0
"68",68,117,1,0
"69",69,24,1,0
"70",70,20,1,1
"71",71,33,1,0
"72",72,296,1,1
"73",73,9,1,0
"74",74,20,1,0
"75",75,109,1,1
"76",76,17,1,0
"77",77,180,1,0
"78",78,20,1,1
"79",79,23,1,1
"80",80,365,0,0
"81",81,98,1,0
"82",82,1,1,0
"83",83,47,1,1
"84",84,75,1,0
"85",85,15,1,0
"86",86,9,1,0
"87",87,22,1,1
"88",88,14,1,1
"89",89,11,1,1
"90",90,26,1,1
"91",91,35,1,0
"92",92,17,1,0
"93",93,30,1,1
"94",94,39,1,0
"95",95,34,1,1
"96",96,53,1,0
"97",97,158,1,0
"98",98,74,1,0
"99",99,78,1,1
"100",100,80,1,1
"101",101,266,1,0
"102",102,84,1,0
"103",103,101,1,1
"104",104,30,1,0
"105",105,45,1,0
"106",106,15,1,0
"107",107,19,1,1
"108",108,37,1,0
"109",109,21,1,0
"110",110,3,1,1
"111",111,8,1,0
"112",112,33,1,1
"113",113,14,1,1
"114",114,44,1,0
"115",115,138,1,1
"116",116,36,1,0
"117",117,365,0,0
"118",118,11,1,1
"119",119,105,1,1
"120",120,227,1,1
"121",121,63,1,0
"122",122,11,1,0
"123",123,18,1,1
"124",124,14,1,1
"125",125,31,1,1
"126",126,228,1,1
"127",127,53,1,1
"128",128,68,1,1
"129",129,27,1,0
"130",130,24,1,1
"131",131,72,1,0
"132",132,23,1,0
"133",133,78,1,1
"134",134,15,1,0
"135",135,6,1,0
"136",136,16,1,0
"137",137,74,1,0
"138",138,16,1,1
"139",139,48,1,0
"140",140,190,1,0
"141",141,14,1,0
"142",142,52,1,0
"143",143,77,1,0
"144",144,229,1,1
"145",145,38,1,0
"146",146,13,1,1
"147",147,63,1,0
"148",148,87,1,0
"149",149,2,1,0
"150",150,4,1,0
"151",151,21,1,1
"152",152,44,1,1
"153",153,145,1,0
"154",154,11,1,1
"155",155,92,1,0
"156",156,106,1,1
"157",157,24,1,1
"158",158,365,0,0
"159",159,51,1,1
"160",160,365,0,0
"161",161,57,1,0
"162",162,60,1,1
"163",163,256,1,1
"164",164,17,1,1
"165",165,87,1,0
"166",166,44,1,1
"167",167,47,1,0
"168",168,93,1,0
"169",169,76,1,1
"170",170,61,1,0
"171",171,178,1,1
"172",172,5,1,0
"173",173,21,1,0
"174",174,5,1,0
"175",175,20,1,1
"176",176,180,1,1
"177",177,55,1,0
"178",178,48,1,0
"179",179,135,1,0
"180",180,101,1,0
"181",181,22,1,1
"182",182,14,1,1
"183",183,22,1,0
"184",184,56,1,1
"185",185,5,1,1
"186",186,365,0,1
"187",187,72,1,1
"188",188,47,1,0
"189",189,14,1,1
"190",190,1,1,1
"191",191,7,1,0
"192",192,8,1,0
"193",193,103,1,1
"194",194,65,1,0
"195",195,4,1,1
"196",196,46,1,0
"197",197,109,1,1
"198",198,63,1,1
"199",199,40,1,0
"200",200,126,1,1
"201",201,32,1,1
"202",202,37,1,1
"203",203,63,1,0
"204",204,78,1,0
"205",205,355,1,0
"206",206,184,1,0
"207",207,12,1,1
"208",208,49,1,0
"209",209,155,1,0
"210",210,4,1,1
"211",211,193,1,1
"212",212,209,1,1
"213",213,23,1,0
"214",214,128,1,0
"215",215,55,1,0
"216",216,147,1,1
"217",217,249,1,1
"218",218,53,1,0
"219",219,20,1,1
"220",220,18,1,1
"221",221,44,1,1
"222",222,3,1,0
"223",223,13,1,1
"224",224,300,1,1
"225",225,22,1,0
"226",226,23,1,0
"227",227,19,1,0
"228",228,65,1,1
"229",229,61,1,1
"230",230,5,1,0
