"","Cowid","Time","Status","Herd","Ureum","Protein","Parity","Heifer"
"1",1,82,1,1,3.12,3.22,6,0
"2",2,80,1,1,6.6,3.02,5,0
"3",3,152,1,1,3.97,2.74,5,0
"4",4,287,1,1,4.04,3,4,1
"5",5,236,1,1,3.33,3.3,4,0
"6",6,83,1,1,3.19,3.5,4,0
"7",7,56,1,1,3.19,3.5,4,0
"8",8,315,0,1,2.99,3.22,3,1
"9",9,19,1,1,3.05,3.02,4,0
"10",10,219,1,1,2.47,2.85,3,0
"11",11,177,1,1,4.11,2.99,4,0
"12",12,226,1,1,4.07,3.41,3,0
"13",13,174,1,1,3.16,3.15,3,1
"14",14,320,0,1,2.61,3.74,4,1
"15",15,215,1,1,4.22,3.2,4,0
"16",16,93,1,1,4.45,2.68,3,0
"17",17,103,1,1,3.23,3.44,2,1
"18",18,81,1,1,3.42,3.74,3,0
"19",19,66,1,1,4.01,3.03,2,0
"20",20,98,1,1,4.21,3.26,2,0
"21",21,77,1,1,6.19,3.13,1,0
"22",22,204,1,1,3.55,2.95,2,1
"23",23,55,1,1,3.28,2.97,3,0
"24",24,45,1,1,4.32,3.33,2,1
"25",25,127,1,1,4.09,3.2,1,0
"26",26,28,1,1,3.37,3.84,1,0
"27",27,202,1,1,5.57,2.95,1,0
"28",28,35,1,1,3.53,3.07,1,0
"29",29,102,1,1,3.74,4.29,2,1
"30",30,183,1,1,2.97,3.22,1,0
"31",31,56,1,1,6.13,3.18,1,1
"32",32,116,1,1,3.69,3.08,2,1
"33",33,209,1,1,4.05,3.13,1,0
"34",34,83,1,1,3.65,3.22,2,0
"35",35,120,1,1,3.26,3.11,1,0
"36",36,187,1,1,4.6,3.15,2,0
"37",37,284,1,1,2.95,3.2,1,1
"38",38,322,1,1,3.29,3.08,1,0
"39",39,188,1,1,2.73,2.95,1,1
"40",40,155,1,1,3.32,3.77,2,1
"41",41,125,1,1,3.41,3.12,1,0
"42",42,147,1,1,5.09,3.92,2,0
"43",43,235,1,1,3.01,2.58,1,0
"44",44,23,1,1,3.85,3.36,1,1
"45",45,167,1,1,4.34,2.99,1,1
"46",46,186,1,1,4.44,3.34,1,1
"47",47,168,1,1,4.69,3.1,1,0
"48",48,38,1,1,2.75,2.99,1,0
"49",49,97,1,1,3.55,2.49,1,0
"50",50,50,1,1,3.63,3.13,1,0
"51",51,219,1,1,3.61,3.42,1,1
"52",52,78,1,2,2.33,2.87,6,1
"53",53,116,1,2,2.43,3.61,6,0
"54",54,73,1,2,1.84,3.41,7,0
"55",55,162,1,2,1.54,3.44,4,0
"56",56,262,1,2,1.54,3.44,4,1
"57",57,63,1,2,1.84,4.02,4,0
"58",58,136,1,2,2.31,2.9,3,1
"59",59,62,1,2,2.03,3.72,3,0
"60",60,73,1,2,2.52,3.93,3,0
"61",61,63,1,2,3.24,3.64,3,0
"62",62,85,1,2,2.85,2.76,4,1
"63",63,49,1,2,2.12,3.49,3,0
"64",64,138,1,2,1.38,4.39,4,1
"65",65,17,1,2,0.7,3.37,2,0
"66",66,11,1,2,2.46,3.42,3,0
"67",67,93,1,2,2.01,2.79,3,1
"68",68,112,1,2,1.87,4.22,4,1
"69",69,102,1,2,2.29,3.19,3,1
"70",70,210,1,2,1.72,3.98,1,1
"71",71,32,1,2,1.92,3.42,2,0
"72",72,150,1,2,2.33,3.35,1,0
"73",73,43,1,2,2.06,3.13,2,0
"74",74,167,1,2,2.03,3.69,2,1
"75",75,88,1,2,1.96,3.74,3,0
"76",76,68,1,2,3.02,3.53,1,1
"77",77,154,1,2,2.73,3.49,2,0
"78",78,63,1,2,1.75,4.43,2,0
"79",79,183,1,2,2.77,3.54,3,1
"80",80,89,1,2,1.89,3.16,2,0
"81",81,38,1,2,2.91,3.93,3,0
"82",82,156,1,2,1.76,3.25,2,0
"83",83,12,1,2,2.25,3.09,2,0
"84",84,112,1,2,1.93,3.05,2,1
"85",85,136,1,2,1.9,3.44,1,1
"86",86,69,1,2,1.92,3.61,2,0
"87",87,75,1,2,1.78,3.34,1,1
"88",88,169,1,2,2.09,3.36,1,1
"89",89,111,1,2,1.62,3.4,1,0
"90",90,248,1,2,1.84,3.92,1,1
"91",91,95,1,2,2.06,3.15,1,1
"92",92,14,1,2,2.64,3.37,1,0
"93",93,83,1,2,2.57,3.15,1,1
"94",94,33,1,2,2.35,3.08,1,0
"95",95,72,1,2,1.73,3.56,1,0
"96",96,74,1,2,2.66,2.72,1,1
"97",97,53,1,2,2.44,3.33,1,0
"98",98,40,1,2,3.01,3.66,1,0
"99",99,184,1,3,3.8,2.8,10,0
"100",100,309,1,3,3.03,3.43,5,1
"101",101,35,1,3,3.2,3.05,5,0
"102",102,133,1,3,3.27,2.86,5,1
"103",103,148,1,3,2.73,2.65,6,1
"104",104,72,1,3,3.22,2.61,4,0
"105",105,146,1,3,2.6,4.17,5,1
"106",106,126,1,3,3.17,3.57,5,0
"107",107,57,1,3,2.81,3.56,4,0
"108",108,76,1,3,3.43,4.44,4,1
"109",109,45,1,3,3.3,3.66,5,1
"110",110,288,1,3,2.84,3.66,4,0
"111",111,198,1,3,3.65,3.74,3,0
"112",112,306,0,3,2.77,3.51,4,1
"113",113,93,1,3,3.41,3.23,3,1
"114",114,127,1,3,4.16,3.03,4,0
"115",115,242,1,3,2.94,3.17,3,0
"116",116,313,0,3,2.5,3.17,4,0
"117",117,64,1,3,3.68,3.17,3,0
"118",118,148,1,3,1.65,3.83,2,1
"119",119,101,1,3,3.55,3.87,3,1
"120",120,107,1,3,2.74,4.04,3,1
"121",121,295,0,3,2,4.36,4,0
"122",122,211,1,3,2.61,2.85,3,1
"123",123,264,1,3,2.61,2.85,3,1
"124",124,50,1,3,2.86,3.37,3,1
"125",125,24,1,3,3.26,3.22,3,1
"126",126,186,1,3,3.64,4.39,3,0
"127",127,279,1,3,3.15,3.4,4,0
"128",128,88,1,3,3.97,3.18,3,0
"129",129,177,1,3,2.91,3.49,3,0
"130",130,82,1,3,3.61,2.89,2,0
"131",131,105,1,3,3.61,2.89,2,0
"132",132,96,1,3,2.95,3.58,4,1
"133",133,249,1,3,3.16,3.45,3,0
"134",134,13,1,3,3.18,3.37,3,1
"135",135,76,1,3,3.31,3.6,3,0
"136",136,179,1,3,3.36,3.25,2,0
"137",137,191,1,3,3.67,3.92,3,1
"138",138,22,1,3,3.24,3.4,2,0
"139",139,107,1,3,3.02,3.09,2,0
"140",140,131,1,3,3.54,3.02,2,0
"141",141,159,1,3,3.48,3.06,2,1
"142",142,181,1,3,3.48,3.06,2,0
"143",143,170,1,3,3.5,3.59,2,1
"144",144,117,1,3,1.72,3.23,2,0
"145",145,92,1,3,3.49,3.31,2,0
"146",146,13,1,3,3.88,2.85,3,0
"147",147,289,1,3,3.67,3.27,2,0
"148",148,278,1,3,3.18,3.6,3,0
"149",149,172,1,3,3.27,3.17,3,0
"150",150,195,1,3,3.88,3.57,2,0
"151",151,102,1,3,4.06,3.72,2,0
"152",152,140,1,3,2.51,4.19,3,0
"153",153,230,1,3,1.91,3.97,2,1
"154",154,315,1,3,2.47,3.97,2,0
"155",155,133,1,3,1.5,3.06,2,0
"156",156,63,1,3,3.15,3.63,2,0
"157",157,203,1,3,3.15,3.63,2,1
"158",158,86,1,3,3.74,2.82,1,1
"159",159,212,1,3,3.25,3.94,3,1
"160",160,111,1,3,1.68,2.97,1,0
"161",161,82,1,3,4.07,3.06,2,0
"162",162,182,1,3,2.93,3.15,1,0
"163",163,228,1,3,2.51,3.26,2,1
"164",164,137,1,3,2.34,3.04,1,1
"165",165,230,1,3,1.62,3.21,1,1
"166",166,46,1,3,2.71,3.33,2,0
"167",167,43,1,3,2.71,3.8,1,1
"168",168,115,1,3,3.7,3.02,1,0
"169",169,129,1,3,2.85,3.17,1,1
"170",170,294,0,3,3.19,3.31,2,1
"171",171,53,1,3,3.86,2.67,1,1
"172",172,61,1,3,2.46,2.97,1,0
"173",173,244,1,3,3.28,3.41,2,0
"174",174,57,1,3,3.03,4.11,1,0
"175",175,211,1,3,3.07,3.25,2,1
"176",176,53,1,3,3,3.67,1,0
"177",177,237,1,3,2.82,3.55,2,0
"178",178,81,1,3,1.89,3.02,1,1
"179",179,276,1,3,2.43,3.3,2,1
"180",180,46,1,3,2.22,3,1,0
"181",181,246,1,3,3.45,3.26,1,1
"182",182,118,1,3,4.06,3.98,2,0
"183",183,166,1,3,2.36,2.77,1,1
"184",184,170,1,3,2.52,2.66,2,0
"185",185,28,1,3,2.55,3.62,1,0
"186",186,196,1,3,2.55,3.62,1,0
"187",187,303,0,3,2.83,3.66,1,0
"188",188,55,1,3,3.37,3.18,1,1
"189",189,224,1,3,3.37,3.46,1,1
"190",190,180,1,3,3.17,3.44,1,0
"191",191,48,1,3,2.54,3.01,1,0
"192",192,136,1,3,2.9,3.39,1,0
"193",193,194,1,3,2.96,3.14,1,1
"194",194,53,1,3,2.14,3.52,1,1
"195",195,249,1,3,3.03,3.12,2,1
"196",196,85,1,3,3.1,3.29,1,0
"197",197,170,1,3,2.82,3.68,2,0
"198",198,305,0,3,2.56,3.48,1,1
"199",199,324,0,3,2.99,2.85,1,0
"200",200,127,1,3,3.9,3.11,1,1
"201",201,169,1,3,2.82,3.23,1,1
"202",202,196,1,3,1.94,3.68,1,0
"203",203,283,1,3,2.28,3.68,1,1
"204",204,136,1,3,2.83,3.17,1,1
"205",205,72,1,3,3.23,3.21,1,0
"206",206,67,1,3,3.23,3.21,1,0
"207",207,281,1,3,2.96,3.76,1,0
"208",208,195,1,3,2.48,4.08,1,0
"209",209,170,1,3,3.31,2.78,1,0
"210",210,82,1,3,3.04,3.18,1,1
"211",211,114,1,3,2.93,3.49,1,1
"212",212,136,1,3,2.87,2.99,1,1
"213",213,53,1,3,2.34,2.94,1,0
"214",214,118,1,3,2.77,2.94,1,0
"215",215,142,1,3,3.22,3.38,1,1
"216",216,296,0,3,1.77,3.8,1,0
"217",217,71,1,3,2.93,3.88,1,0
"218",218,322,0,3,3.6,3.48,1,1
"219",219,303,0,3,2.72,3.21,1,0
"220",220,189,1,3,3.92,3.1,1,0
"221",221,148,1,4,2.46,3.03,3,1
"222",222,68,1,4,3.64,2.96,3,1
"223",223,81,1,4,3.87,3.35,2,0
"224",224,69,1,4,2.62,4.36,2,1
"225",225,48,1,4,2.1,3.2,3,0
"226",226,84,1,4,2.6,3.52,2,1
"227",227,73,1,4,3.49,3.08,2,0
"228",228,72,1,4,2.81,3.35,2,1
"229",229,15,1,4,2.87,2.99,1,0
"230",230,26,1,4,4.2,3.83,1,1
"231",231,89,1,4,3.88,3.64,1,0
"232",232,14,1,4,2.66,3.58,1,0
"233",233,92,1,4,1.64,3.45,2,0
"234",234,194,1,4,2.07,3.49,2,1
"235",235,114,1,4,2.37,3.05,1,0
"236",236,89,1,4,2.39,3.34,1,0
"237",237,81,1,4,2.62,3.18,2,0
"238",238,138,1,4,1.37,3.39,1,0
"239",239,104,1,4,2.28,3.13,1,1
"240",240,94,1,4,3.12,3.22,1,0
"241",241,79,1,4,1.58,3.43,1,0
"242",242,120,1,4,1.89,3.18,1,1
"243",243,206,1,5,3.19,3.17,6,1
"244",244,68,1,5,2.62,3.49,6,0
"245",245,282,1,5,2.16,3.37,6,0
"246",246,33,1,5,2.42,3.43,5,0
"247",247,77,1,5,2.49,3.29,6,1
"248",248,164,1,5,2.61,2.82,5,0
"249",249,28,1,5,3.09,3.08,6,0
"250",250,191,1,5,3.79,3.29,5,0
"251",251,261,1,5,2.24,3.02,5,1
"252",252,16,1,5,2.36,3.05,6,1
"253",253,301,0,5,2.88,3.07,4,1
"254",254,28,1,5,1.95,2.98,4,0
"255",255,173,1,5,3.29,3.06,5,0
"256",256,68,1,5,3.16,3.91,4,1
"257",257,26,1,5,3.54,3.52,4,1
"258",258,19,1,5,2.57,3.22,3,1
"259",259,96,1,5,2.58,3.08,4,0
"260",260,299,0,5,2.18,3.1,5,1
"261",261,236,1,5,2.33,2.93,4,1
"262",262,300,0,5,2.97,3.56,4,1
"263",263,80,1,5,2.85,3.19,4,0
"264",264,291,1,5,2.83,3.01,3,0
"265",265,56,1,5,2.32,3.28,3,0
"266",266,189,1,5,3.31,3.38,3,0
"267",267,157,1,5,1.84,3.26,3,0
"268",268,246,1,5,3.05,2.83,4,0
"269",269,72,1,5,2.36,2.99,3,0
"270",270,47,1,5,2.93,3.56,3,1
"271",271,95,1,5,1.67,2.94,3,0
"272",272,50,1,5,0.84,3.16,2,0
"273",273,305,0,5,3.45,3.15,4,0
"274",274,227,1,5,2.1,3.13,3,0
"275",275,326,0,5,3.25,3.02,3,0
"276",276,92,1,5,2.05,2.94,3,0
"277",277,170,1,5,2.93,2.91,2,0
"278",278,163,1,5,2.64,3.54,3,0
"279",279,136,1,5,3.82,3.2,3,1
"280",280,315,0,5,2.38,3.09,2,1
"281",281,156,1,5,2.34,3.24,3,1
"282",282,235,1,5,3.04,3.38,2,0
"283",283,143,1,5,2.25,3.31,3,0
"284",284,165,1,5,1.86,3.34,3,0
"285",285,136,1,5,2.23,3.13,2,1
"286",286,85,1,5,2.68,3.13,3,0
"287",287,318,0,5,3.1,3.03,3,1
"288",288,92,1,5,2.19,2.79,3,0
"289",289,60,1,5,2.81,2.8,3,0
"290",290,282,1,5,2.39,3.48,2,1
"291",291,112,1,5,2.39,3.48,2,0
"292",292,84,1,5,2.88,3.16,2,0
"293",293,267,1,5,1.93,3.14,1,1
"294",294,279,1,5,2.44,3.63,2,1
"295",295,203,1,5,1.83,3.42,1,0
"296",296,213,1,5,3.01,3.5,2,0
"297",297,83,1,5,2.97,3.56,2,0
"298",298,43,1,5,2.17,3.13,2,1
"299",299,297,0,5,1.8,3.01,1,1
"300",300,46,1,5,2.08,3.27,2,0
"301",301,126,1,5,2.31,3.96,1,0
"302",302,267,1,5,3.17,3.58,1,1
"303",303,166,1,5,3.04,3.5,2,0
"304",304,55,1,5,2.86,3.48,2,0
"305",305,322,0,5,2.19,2.97,1,1
"306",306,166,1,5,2.09,3,1,0
"307",307,33,1,5,2.23,3.38,1,0
"308",308,122,1,5,2.36,3.28,1,0
"309",309,317,0,5,2.01,3.67,1,1
"310",310,308,0,5,1.67,3.87,1,1
"311",311,25,1,5,0.86,3.68,1,0
"312",312,71,1,5,2.63,3.33,1,0
"313",313,186,1,5,2.4,3.47,1,0
"314",314,65,1,5,2.91,3.18,1,0
"315",315,109,1,5,2.2,3.53,1,0
"316",316,274,1,5,2.44,3.32,1,1
"317",317,270,1,5,3.14,3.14,1,0
"318",318,94,1,5,2.33,3.29,1,0
"319",319,60,1,6,2.32,3.22,9,1
"320",320,20,1,6,1,3.31,6,0
"321",321,160,1,6,2.55,3.47,6,1
"322",322,112,1,6,2.17,3.37,6,0
"323",323,85,1,6,2.34,3.35,6,0
"324",324,83,1,6,2.48,3.1,5,1
"325",325,225,1,6,3.07,3.43,5,0
"326",326,191,1,6,3.09,3.55,5,0
"327",327,56,1,6,1.98,3.15,5,1
"328",328,94,1,6,1.84,2.88,3,0
"329",329,52,1,6,1.48,3.66,3,1
"330",330,29,1,6,2.78,3.6,3,1
"331",331,106,1,6,1.97,4.05,3,0
"332",332,67,1,6,2.52,3.14,3,1
"333",333,34,1,6,2.23,2.88,2,0
"334",334,103,1,6,2.65,3.41,3,1
"335",335,77,1,6,1.86,3.58,3,1
"336",336,81,1,6,1.09,4.42,4,0
"337",337,52,1,6,1.46,3.06,4,0
"338",338,89,1,6,2.32,3.6,2,0
"339",339,93,1,6,2.35,3.46,2,0
"340",340,98,1,6,1.72,2.89,2,0
"341",341,36,1,6,0.7,3.13,2,1
"342",342,43,1,6,1.72,2.78,1,1
"343",343,93,1,6,1.76,3.29,1,0
"344",344,92,1,6,1.47,3.55,1,0
"345",345,80,1,6,1.84,3.35,1,1
"346",346,124,1,6,2.23,3.05,1,0
"347",347,67,1,6,1.02,3.15,1,1
"348",348,58,1,6,1.94,3.6,1,0
"349",349,160,1,6,0.76,3.62,1,0
"350",350,191,1,6,2.83,3.72,1,1
"351",351,103,1,6,1.61,3.28,1,1
"352",352,77,1,6,1.45,3.03,1,1
"353",353,130,1,6,2.22,3.21,1,1
"354",354,33,1,6,1.91,3.43,1,1
"355",355,2,1,6,1.51,3.43,1,0
"356",356,13,1,6,0.7,3.13,1,0
"357",357,53,1,7,1.37,3.43,7,1
"358",358,54,1,7,1.84,3.08,5,0
"359",359,105,1,7,3.04,3.28,5,1
"360",360,6,1,7,1.38,3.72,6,1
"361",361,41,1,7,1.91,3.5,5,1
"362",362,91,1,7,2.07,3.32,5,1
"363",363,199,1,7,1.4,3.92,4,0
"364",364,155,1,7,2.41,2.98,5,0
"365",365,96,1,7,2.99,3.43,4,1
"366",366,94,1,7,1.57,2.79,3,0
"367",367,62,1,7,1.87,3.82,3,0
"368",368,177,1,7,1.86,3.32,4,1
"369",369,33,1,7,1.68,3.42,3,0
"370",370,164,1,7,2.44,3.39,4,1
"371",371,26,1,7,2.16,3.94,5,0
"372",372,83,1,7,2.24,4.13,4,0
"373",373,43,1,7,1.1,3.28,4,1
"374",374,45,1,7,1.83,3.44,5,1
"375",375,125,1,7,1.78,3.83,4,1
"376",376,110,1,7,2.68,3.32,5,0
"377",377,103,1,7,3.19,3.26,4,1
"378",378,7,1,7,2.22,3.34,5,1
"379",379,34,1,7,2.58,2.97,3,1
"380",380,90,1,7,2.5,3.05,4,0
"381",381,69,1,7,2.01,3.49,4,0
"382",382,138,1,7,2.95,3.02,3,0
"383",383,61,1,7,1.63,3.41,3,0
"384",384,61,1,7,3.97,3.09,3,0
"385",385,108,1,7,2.6,3.48,4,0
"386",386,28,1,7,1.74,4.13,3,1
"387",387,72,1,7,2.1,4.18,3,0
"388",388,69,1,7,1.23,3.39,3,0
"389",389,74,1,7,1.86,3.5,3,0
"390",390,86,1,7,1.98,3.34,3,0
"391",391,33,1,7,2.53,3.38,3,0
"392",392,89,1,7,2.25,3.17,4,0
"393",393,43,1,7,1.4,3.54,2,0
"394",394,47,1,7,1.69,3.53,3,0
"395",395,59,1,7,1.71,3.74,4,0
"396",396,36,1,7,1.97,3.26,3,0
"397",397,20,1,7,1.35,2.97,3,1
"398",398,71,1,7,2.07,2.94,3,1
"399",399,61,1,7,0.7,3.47,4,0
"400",400,24,1,7,2.38,4.02,1,1
"401",401,100,1,7,1.12,3.26,1,0
"402",402,72,1,7,1.65,3.44,2,0
"403",403,132,1,7,1.84,3.43,2,0
"404",404,75,1,7,1.25,3.78,1,0
"405",405,94,1,7,1.23,2.9,1,1
"406",406,53,1,7,2.47,2.97,2,0
"407",407,18,1,7,2.09,3.43,1,1
"408",408,134,1,7,1.99,3.44,2,0
"409",409,9,1,7,1.62,3.35,1,1
"410",410,70,1,7,0.7,3.5,2,1
"411",411,77,1,7,1.34,3.13,1,0
"412",412,96,1,7,2.28,3.54,1,1
"413",413,55,1,7,1.41,3.48,2,1
"414",414,89,1,7,3.05,3,2,0
"415",415,68,1,7,1.66,3.27,3,1
"416",416,34,1,7,1.88,3.71,2,0
"417",417,125,1,7,2.7,3.67,2,1
"418",418,47,1,7,1.8,3.87,2,0
"419",419,91,1,7,1.14,3.21,3,0
"420",420,14,1,7,2.12,3.23,2,1
"421",421,19,1,7,1.53,3.22,3,1
"422",422,69,1,7,1.24,3.33,2,0
"423",423,43,1,7,1.21,3.46,2,0
"424",424,20,1,7,2.37,3.35,2,0
"425",425,71,1,7,1.23,3.16,2,0
"426",426,43,1,7,1.61,3.49,3,0
"427",427,58,1,7,2.11,3.11,2,0
"428",428,48,1,7,2.6,3.41,2,1
"429",429,133,1,7,2.45,3.24,3,0
