"","Cowid","Lower","Upper","Midpoint","Status","Heifer","Quarter"
"1",1,282,310,296,1,1,1
"2",1,291,319,305,0,1,2
"3",1,287,315,301,0,1,3
"4",1,318,346,332,0,1,4
"5",2,155,189,172,1,1,1
"6",2,65,99,82,1,1,2
"7",2,213,247,230,1,1,3
"8",2,50,84,67,1,1,4
"9",3,119,147,133,1,0,1
"10",3,19,47,33,1,0,2
"11",3,32,60,46,1,0,3
"12",3,20,48,34,1,0,4
"13",4,0,18,9,1,0,1
"14",4,48,79,63.5,1,0,2
"15",4,33,64,48.5,1,0,3
"16",4,112,143,127.5,1,0,4
"17",5,18,44,31,1,0,1
"18",5,72,98,85,1,0,2
"19",5,70,96,83,1,0,3
"20",5,1,27,14,1,0,4
"21",6,27,60,43.5,1,0,1
"22",6,64,97,80.5,1,0,2
"23",6,92,125,108.5,1,0,3
"24",6,0,24,12,1,0,4
"25",7,312,345,328.5,0,1,1
"26",7,288,321,304.5,0,1,2
"27",7,322,355,338.5,0,1,3
"28",7,186,219,202.5,1,1,4
"29",8,2,33,17.5,1,1,1
"30",8,11,42,26.5,1,1,2
"31",8,5,36,20.5,1,1,3
"32",8,0,28,14,1,1,4
"33",9,40,65,52.5,1,1,1
"34",9,72,97,84.5,1,1,2
"35",9,0,19,9.5,1,1,3
"36",9,7,32,19.5,1,1,4
"37",10,66,95,80.5,1,0,1
"38",10,77,106,91.5,1,0,2
"39",10,163,192,177.5,1,0,3
"40",10,21,50,35.5,1,0,4
"41",11,0,22,11,1,0,1
"42",11,280,307,293.5,1,0,2
"43",11,111,138,124.5,1,0,3
"44",11,59,86,72.5,1,0,4
"45",12,21,52,36.5,1,1,1
"46",12,0,16,8,1,1,2
"47",12,0,23,11.5,1,1,3
"48",12,0,27,13.5,1,1,4
"49",13,156,186,171,1,0,1
"50",13,330,360,345,0,0,2
"51",13,328,358,343,0,0,3
"52",13,310,340,325,1,0,4
"53",14,0,17,8.5,1,0,1
"54",14,68,94,81,1,0,2
"55",14,0,21,10.5,1,0,3
"56",14,72,98,85,1,0,4
"57",15,88,121,104.5,1,0,1
"58",15,103,136,119.5,1,0,2
"59",15,98,131,114.5,1,0,3
"60",15,122,155,138.5,1,0,4
"61",16,0,16,8,1,1,1
"62",16,15,42,28.5,1,1,2
"63",16,0,26,13,1,1,3
"64",16,0,24,12,1,1,4
"65",17,297,322,309.5,0,0,1
"66",17,155,180,167.5,1,0,2
"67",17,256,281,268.5,1,0,3
"68",17,115,140,127.5,1,0,4
"69",18,143,176,159.5,1,0,1
"70",18,26,59,42.5,1,0,2
"71",18,207,240,223.5,1,0,3
"72",18,37,70,53.5,1,0,4
"73",19,14,42,28,1,0,1
"74",19,58,86,72,1,0,2
"75",19,8,36,22,1,0,3
"76",19,105,133,119,1,0,4
"77",20,180,211,195.5,1,0,1
"78",20,22,53,37.5,1,0,2
"79",20,94,125,109.5,1,0,3
"80",20,69,100,84.5,1,0,4
"81",21,290,319,304.5,0,0,1
"82",21,316,345,330.5,0,0,2
"83",21,50,79,64.5,1,0,3
"84",21,75,104,89.5,1,0,4
"85",22,12,42,27,1,1,1
"86",22,14,44,29,1,1,2
"87",22,123,153,138,1,1,3
"88",22,60,90,75,1,1,4
"89",23,13,41,27,1,1,1
"90",23,38,66,52,1,1,2
"91",23,131,159,145,1,1,3
"92",23,62,90,76,1,1,4
"93",24,29,57,43,1,0,1
"94",24,31,59,45,1,0,2
"95",24,77,105,91,1,0,3
"96",24,187,215,201,1,0,4
"97",25,55,88,71.5,1,0,1
"98",25,5,38,21.5,1,0,2
"99",25,0,31,15.5,1,0,3
"100",25,41,74,57.5,1,0,4
"101",26,59,85,72,1,0,1
"102",26,60,86,73,1,0,2
"103",26,125,151,138,1,0,3
"104",26,74,100,87,1,0,4
"105",27,0,31,15.5,1,0,1
"106",27,23,57,40,1,0,2
"107",27,89,123,106,1,0,3
"108",27,62,96,79,1,0,4
"109",28,10,42,26,1,0,1
"110",28,8,40,24,1,0,2
"111",28,0,24,12,1,0,3
"112",28,17,49,33,1,0,4
"113",29,161,195,178,1,1,1
"114",29,300,334,317,1,1,2
"115",29,236,270,253,1,1,3
"116",29,305,339,322,1,1,4
"117",30,71,101,86,1,1,1
"118",30,24,54,39,1,1,2
"119",30,40,70,55,1,1,3
"120",30,125,155,140,1,1,4
"121",31,312,343,327.5,0,0,1
"122",31,192,223,207.5,1,0,2
"123",31,46,77,61.5,1,0,3
"124",31,113,144,128.5,1,0,4
"125",32,292,319,305.5,0,0,1
"126",32,321,348,334.5,0,0,2
"127",32,315,342,328.5,0,0,3
"128",32,306,333,319.5,0,0,4
"129",33,71,101,86,1,1,1
"130",33,78,108,93,1,1,2
"131",33,204,234,219,1,1,3
"132",33,187,217,202,1,1,4
"133",34,154,186,170,1,0,1
"134",34,258,290,274,1,0,2
"135",34,97,129,113,1,0,3
"136",34,117,149,133,1,0,4
"137",35,61,94,77.5,1,0,1
"138",35,223,256,239.5,1,0,2
"139",35,35,68,51.5,1,0,3
"140",35,117,150,133.5,1,0,4
"141",36,41,73,57,1,0,1
"142",36,105,137,121,1,0,2
"143",36,48,80,64,1,0,3
"144",36,96,128,112,1,0,4
"145",37,96,122,109,1,0,1
"146",37,328,354,341,0,0,2
"147",37,319,345,332,0,0,3
"148",37,148,174,161,1,0,4
"149",38,18,50,34,1,1,1
"150",38,0,30,15,1,1,2
"151",38,0,17,8.5,1,1,3
"152",38,43,75,59,1,1,4
"153",39,4,33,18.5,1,0,1
"154",39,30,59,44.5,1,0,2
"155",39,26,55,40.5,1,0,3
"156",39,74,103,88.5,1,0,4
"157",40,44,75,59.5,1,0,1
"158",40,67,98,82.5,1,0,2
"159",40,144,175,159.5,1,0,3
"160",40,187,218,202.5,1,0,4
"161",41,168,200,184,1,0,1
"162",41,29,61,45,1,0,2
"163",41,68,100,84,1,0,3
"164",41,102,134,118,1,0,4
"165",42,302,329,315.5,0,0,1
"166",42,179,206,192.5,1,0,2
"167",42,306,333,319.5,0,0,3
"168",42,311,338,324.5,0,0,4
"169",43,139,169,154,1,0,1
"170",43,47,77,62,1,0,2
"171",43,90,120,105,1,0,3
"172",43,11,41,26,1,0,4
"173",44,252,280,266,1,0,1
"174",44,73,101,87,1,0,2
"175",44,302,330,316,0,0,3
"176",44,132,160,146,1,0,4
"177",45,76,105,90.5,1,1,1
"178",45,71,100,85.5,1,1,2
"179",45,8,37,22.5,1,1,3
"180",45,132,161,146.5,1,1,4
"181",46,0,25,12.5,1,0,1
"182",46,77,108,92.5,1,0,2
"183",46,54,85,69.5,1,0,3
"184",46,58,89,73.5,1,0,4
"185",47,0,24,12,1,1,1
"186",47,15,43,29,1,1,2
"187",47,0,14,7,1,1,3
"188",47,4,32,18,1,1,4
"189",48,299,333,316,0,0,1
"190",48,291,325,308,0,0,2
"191",48,327,361,344,0,0,3
"192",48,322,356,339,0,0,4
"193",49,319,348,333.5,0,0,1
"194",49,299,328,313.5,0,0,2
"195",49,107,136,121.5,1,0,3
"196",49,304,333,318.5,0,0,4
"197",50,101,128,114.5,1,0,1
"198",50,77,104,90.5,1,0,2
"199",50,100,127,113.5,1,0,3
"200",50,131,158,144.5,1,0,4
"201",51,330,358,344,0,0,1
"202",51,304,332,318,0,0,2
"203",51,324,352,338,0,0,3
"204",51,249,277,263,1,0,4
"205",52,280,307,293.5,1,0,1
"206",52,207,234,220.5,1,0,2
"207",52,252,279,265.5,1,0,3
"208",52,118,145,131.5,1,0,4
"209",53,50,80,65,1,0,1
"210",53,0,30,15,1,0,2
"211",53,77,107,92,1,0,3
"212",53,31,61,46,1,0,4
"213",54,140,171,155.5,1,1,1
"214",54,291,322,306.5,0,1,2
"215",54,86,117,101.5,1,1,3
"216",54,228,259,243.5,1,1,4
"217",55,45,76,60.5,1,0,1
"218",55,39,70,54.5,1,0,2
"219",55,79,110,94.5,1,0,3
"220",55,107,138,122.5,1,0,4
"221",56,304,330,317,0,0,1
"222",56,317,343,330,0,0,2
"223",56,295,321,308,0,0,3
"224",56,64,90,77,1,0,4
