"","Cowid","Time","Status","Drug","Heifer"
"1",1,6.5,0,0,0
"2",1,6.5,0,1,0
"3",2,2.93,1,0,0
"4",2,1.59,1,1,0
"5",3,6.5,0,0,1
"6",3,2.51,1,1,1
"7",4,6.5,0,0,0
"8",4,0.16,1,1,0
"9",5,3.14,1,0,1
"10",5,5.59,1,1,1
"11",6,1.76,1,0,0
"12",6,1.27,1,1,0
"13",7,2.81,1,0,0
"14",7,0.58,1,1,0
"15",8,0.38,1,0,0
"16",8,0.15,1,1,0
"17",9,6.5,0,0,0
"18",9,0.32,1,1,0
"19",10,4.66,1,0,0
"20",10,6.42,1,1,0
"21",11,6.5,0,0,0
"22",11,4.63,1,1,0
"23",12,2.77,1,0,0
"24",12,5.34,1,1,0
"25",13,6.5,0,0,0
"26",13,1.78,1,1,0
"27",14,4.22,1,0,0
"28",14,1.25,1,1,0
"29",15,1.37,1,0,1
"30",15,0.11,1,1,1
"31",16,4.18,1,0,0
"32",16,4.07,1,1,0
"33",17,6.5,0,0,0
"34",17,5.89,1,1,0
"35",18,2.02,1,0,0
"36",18,0.49,1,1,0
"37",19,1.13,1,0,1
"38",19,0.68,1,1,1
"39",20,4.64,1,0,0
"40",20,0.42,1,1,0
"41",21,2.31,1,0,0
"42",21,2.63,1,1,0
"43",22,0.43,1,0,0
"44",22,6.5,0,1,0
"45",23,0.41,1,0,1
"46",23,0.36,1,1,1
"47",24,6.5,0,0,0
"48",24,0.42,1,1,0
"49",25,1.07,1,0,1
"50",25,0.73,1,1,1
"51",26,3.12,1,0,0
"52",26,1.46,1,1,0
"53",27,6.48,1,0,0
"54",27,2.59,1,1,0
"55",28,6.5,0,0,1
"56",28,0.5,1,1,1
"57",29,1.32,1,0,0
"58",29,0.11,1,1,0
"59",30,4.56,1,0,0
"60",30,0.44,1,1,0
"61",31,0.75,1,0,0
"62",31,1.35,1,1,0
"63",32,5.65,1,0,0
"64",32,3.28,1,1,0
"65",33,1.15,1,0,0
"66",33,3.56,1,1,0
"67",34,6.5,0,0,0
"68",34,4.97,1,1,0
"69",35,2.69,1,0,0
"70",35,1.61,1,1,0
"71",36,0.85,1,0,1
"72",36,4.47,1,1,1
"73",37,0.64,1,0,0
"74",37,3.63,1,1,0
"75",38,3.03,1,0,1
"76",38,1.32,1,1,1
"77",39,0.58,1,0,0
"78",39,2.07,1,1,0
"79",40,1.18,1,0,1
"80",40,0.08,1,1,1
"81",41,2.18,1,0,0
"82",41,6.5,0,1,0
"83",42,3.49,1,0,0
"84",42,1.64,1,1,0
"85",43,4.31,1,0,0
"86",43,1.98,1,1,0
"87",44,4.73,1,0,0
"88",44,6.5,0,1,0
"89",45,6.5,0,0,0
"90",45,0.11,1,1,0
"91",46,0.77,1,0,1
"92",46,0.53,1,1,1
"93",47,0.61,1,0,0
"94",47,1.26,1,1,0
"95",48,0.89,1,0,0
"96",48,3.48,1,1,0
"97",49,0.03,1,0,1
"98",49,2.48,1,1,1
"99",50,3.62,1,0,1
"100",50,1.3,1,1,1
"101",51,2,1,0,0
"102",51,1.56,1,1,0
"103",52,4.11,1,0,0
"104",52,0.6,1,1,0
"105",53,1.01,1,0,0
"106",53,5.8,1,1,0
"107",54,0.12,1,0,0
"108",54,0.83,1,1,0
"109",55,2.95,1,0,1
"110",55,2.83,1,1,1
"111",56,1.3,1,0,0
"112",56,1.77,1,1,0
"113",57,0.54,1,0,0
"114",57,0.69,1,1,0
"115",58,1.53,1,0,0
"116",58,0.81,1,1,0
"117",59,5.32,1,0,0
"118",59,1.73,1,1,0
"119",60,6.5,0,0,0
"120",60,6.5,0,1,0
"121",61,2.37,1,0,0
"122",61,0.89,1,1,0
"123",62,6.5,0,0,1
"124",62,6.5,0,1,1
"125",63,1.25,1,0,1
"126",63,0.55,1,1,1
"127",64,0.77,1,0,1
"128",64,6.5,0,1,1
"129",65,6.5,0,0,0
"130",65,0.26,1,1,0
"131",66,2.59,1,0,0
"132",66,6.5,0,1,0
"133",67,6.5,0,0,1
"134",67,6.5,0,1,1
"135",68,1.8,1,0,0
"136",68,1.67,1,1,0
"137",69,3.84,1,0,0
"138",69,6.26,1,1,0
"139",70,0.46,1,0,1
"140",70,1.82,1,1,1
"141",71,0.31,1,0,1
"142",71,2.64,1,1,1
"143",72,0.52,1,0,1
"144",72,1.39,1,1,1
"145",73,6.5,0,0,0
"146",73,1.92,1,1,0
"147",74,1.14,1,0,0
"148",74,0.7,1,1,0
"149",75,6.5,0,0,0
"150",75,1.27,1,1,0
"151",76,3.65,1,0,1
"152",76,1.32,1,1,1
"153",77,6.5,0,0,1
"154",77,3.26,1,1,1
"155",78,0.47,1,0,1
"156",78,0.39,1,1,1
"157",79,2.23,1,0,0
"158",79,5.69,1,1,0
"159",80,2.94,1,0,0
"160",80,1.15,1,1,0
"161",81,6.5,0,0,0
"162",81,6.5,0,1,0
"163",82,5.86,1,0,1
"164",82,6.5,0,1,1
"165",83,0.53,1,0,0
"166",83,0.54,1,1,0
"167",84,1.79,1,0,0
"168",84,0.76,1,1,0
"169",85,2.28,1,0,1
"170",85,0.64,1,1,1
"171",86,4.22,1,0,1
"172",86,6.5,0,1,1
"173",87,0.18,1,0,1
"174",87,0.77,1,1,1
"175",88,1.12,1,0,0
"176",88,0.59,1,1,0
"177",89,4.55,1,0,0
"178",89,0.18,1,1,0
"179",90,6.5,0,0,0
"180",90,4.79,1,1,0
"181",91,3.5,1,0,1
"182",91,0.38,1,1,1
"183",92,1.5,1,0,0
"184",92,0.25,1,1,0
"185",93,5.98,1,0,1
"186",93,0.56,1,1,1
"187",94,6.5,0,0,0
"188",94,2.4,1,1,0
"189",95,3.05,1,0,0
"190",95,6.5,0,1,0
"191",96,1.42,1,0,0
"192",96,6.5,0,1,0
"193",97,1.46,1,0,0
"194",97,2.15,1,1,0
"195",98,6.5,0,0,0
"196",98,3.01,1,1,0
"197",99,6.18,1,0,0
"198",99,0.1,1,1,0
"199",100,6.5,0,0,0
"200",100,6.5,0,1,0
