"Package","Item","Title","Rows","Cols","n_character","n_binary","n_factor","n_logical","n_numeric","CSV","Doc"
"addhazard","nwts2ph","An hypothetical two-phase sampling dataset based on nwtsco dataset from the National Wilms Tumor Study (NWTS)",3915,15,0,7,0,0,15,"https://jemus42.github.io/Rdatasets/csv/addhazard/nwts2ph.csv","https://jemus42.github.io/Rdatasets/doc/addhazard/nwts2ph.html"
"addhazard","nwtsco","Dataset from the National Wilms Tumor Study (NWTS)",3915,12,0,5,0,0,12,"https://jemus42.github.io/Rdatasets/csv/addhazard/nwtsco.csv","https://jemus42.github.io/Rdatasets/doc/addhazard/nwtsco.html"
"AER","Affairs","Fair's Extramarital Affairs Data",601,9,0,2,2,0,7,"https://jemus42.github.io/Rdatasets/csv/AER/Affairs.csv","https://jemus42.github.io/Rdatasets/doc/AER/Affairs.html"
"AER","ArgentinaCPI","Consumer Price Index in Argentina",80,2,0,0,0,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/ArgentinaCPI.csv","https://jemus42.github.io/Rdatasets/doc/AER/ArgentinaCPI.html"
"AER","BankWages","Bank Wages",474,4,0,2,3,0,1,"https://jemus42.github.io/Rdatasets/csv/AER/BankWages.csv","https://jemus42.github.io/Rdatasets/doc/AER/BankWages.html"
"AER","BenderlyZwick","Benderly and Zwick Data: Inflation, Growth and Stock Returns",31,5,0,0,0,0,5,"https://jemus42.github.io/Rdatasets/csv/AER/BenderlyZwick.csv","https://jemus42.github.io/Rdatasets/doc/AER/BenderlyZwick.html"
"AER","BondYield","Bond Yield Data",60,2,0,0,0,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/BondYield.csv","https://jemus42.github.io/Rdatasets/doc/AER/BondYield.html"
"AER","CartelStability","CartelStability",328,5,0,2,3,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/CartelStability.csv","https://jemus42.github.io/Rdatasets/doc/AER/CartelStability.html"
"AER","CASchools","California Test Score Data",420,14,2,1,2,0,10,"https://jemus42.github.io/Rdatasets/csv/AER/CASchools.csv","https://jemus42.github.io/Rdatasets/doc/AER/CASchools.html"
"AER","ChinaIncome","Chinese Real National Income Data",37,5,0,0,0,0,5,"https://jemus42.github.io/Rdatasets/csv/AER/ChinaIncome.csv","https://jemus42.github.io/Rdatasets/doc/AER/ChinaIncome.html"
"AER","CigarettesB","Cigarette Consumption Data",46,3,0,0,0,0,3,"https://jemus42.github.io/Rdatasets/csv/AER/CigarettesB.csv","https://jemus42.github.io/Rdatasets/doc/AER/CigarettesB.html"
"AER","CigarettesSW","Cigarette Consumption Panel Data",96,9,0,2,2,0,7,"https://jemus42.github.io/Rdatasets/csv/AER/CigarettesSW.csv","https://jemus42.github.io/Rdatasets/doc/AER/CigarettesSW.html"
"AER","CollegeDistance","College Distance Data",4739,14,0,7,8,0,6,"https://jemus42.github.io/Rdatasets/csv/AER/CollegeDistance.csv","https://jemus42.github.io/Rdatasets/doc/AER/CollegeDistance.html"
"AER","ConsumerGood","Properties of a Fast-Moving Consumer Good",108,3,0,0,0,0,3,"https://jemus42.github.io/Rdatasets/csv/AER/ConsumerGood.csv","https://jemus42.github.io/Rdatasets/doc/AER/ConsumerGood.html"
"AER","CPS1985","Determinants of Wages Data (CPS 1985)",534,11,0,4,7,0,4,"https://jemus42.github.io/Rdatasets/csv/AER/CPS1985.csv","https://jemus42.github.io/Rdatasets/doc/AER/CPS1985.html"
"AER","CPS1988","Determinants of Wages Data (CPS 1988)",28155,7,0,3,4,0,3,"https://jemus42.github.io/Rdatasets/csv/AER/CPS1988.csv","https://jemus42.github.io/Rdatasets/doc/AER/CPS1988.html"
"AER","CPSSW04","Stock and Watson CPS Data Sets",7986,4,0,2,2,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/CPSSW04.csv","https://jemus42.github.io/Rdatasets/doc/AER/CPSSW04.html"
"AER","CPSSW3","Stock and Watson CPS Data Sets",20999,3,0,1,2,0,1,"https://jemus42.github.io/Rdatasets/csv/AER/CPSSW3.csv","https://jemus42.github.io/Rdatasets/doc/AER/CPSSW3.html"
"AER","CPSSW8","Stock and Watson CPS Data Sets",61395,5,0,1,2,0,3,"https://jemus42.github.io/Rdatasets/csv/AER/CPSSW8.csv","https://jemus42.github.io/Rdatasets/doc/AER/CPSSW8.html"
"AER","CPSSW9204","Stock and Watson CPS Data Sets",15588,5,0,3,3,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/CPSSW9204.csv","https://jemus42.github.io/Rdatasets/doc/AER/CPSSW9204.html"
"AER","CPSSW9298","Stock and Watson CPS Data Sets",13501,5,0,3,3,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/CPSSW9298.csv","https://jemus42.github.io/Rdatasets/doc/AER/CPSSW9298.html"
"AER","CPSSWEducation","Stock and Watson CPS Data Sets",2950,4,0,2,1,0,3,"https://jemus42.github.io/Rdatasets/csv/AER/CPSSWEducation.csv","https://jemus42.github.io/Rdatasets/doc/AER/CPSSWEducation.html"
"AER","CreditCard","Expenditure and Default Data",1319,12,0,4,3,0,9,"https://jemus42.github.io/Rdatasets/csv/AER/CreditCard.csv","https://jemus42.github.io/Rdatasets/doc/AER/CreditCard.html"
"AER","DJFranses","Dow Jones Index Data (Franses)",770,2,0,0,0,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/DJFranses.csv","https://jemus42.github.io/Rdatasets/doc/AER/DJFranses.html"
"AER","DJIA8012","Dow Jones Industrial Average (DJIA) index",8610,1,0,0,0,0,1,"https://jemus42.github.io/Rdatasets/csv/AER/DJIA8012.csv","https://jemus42.github.io/Rdatasets/doc/AER/DJIA8012.html"
"AER","DoctorVisits","Australian Health Service Utilization Data",5190,12,0,6,6,0,6,"https://jemus42.github.io/Rdatasets/csv/AER/DoctorVisits.csv","https://jemus42.github.io/Rdatasets/doc/AER/DoctorVisits.html"
"AER","DutchAdvert","TV and Radio Advertising Expenditures Data",221,2,0,0,0,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/DutchAdvert.csv","https://jemus42.github.io/Rdatasets/doc/AER/DutchAdvert.html"
"AER","DutchSales","Dutch Retail Sales Index Data",425,2,0,0,0,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/DutchSales.csv","https://jemus42.github.io/Rdatasets/doc/AER/DutchSales.html"
"AER","Electricity1955","Cost Function of Electricity Producers (1955, Nerlove Data)",159,8,0,0,0,0,8,"https://jemus42.github.io/Rdatasets/csv/AER/Electricity1955.csv","https://jemus42.github.io/Rdatasets/doc/AER/Electricity1955.html"
"AER","Electricity1970","Cost Function of Electricity Producers 1970",158,8,0,0,0,0,8,"https://jemus42.github.io/Rdatasets/csv/AER/Electricity1970.csv","https://jemus42.github.io/Rdatasets/doc/AER/Electricity1970.html"
"AER","EquationCitations","Number of Equations and Citations for Evolutionary Biology Publications",649,13,1,0,1,0,11,"https://jemus42.github.io/Rdatasets/csv/AER/EquationCitations.csv","https://jemus42.github.io/Rdatasets/doc/AER/EquationCitations.html"
"AER","Equipment","Transportation Equipment Manufacturing Data",25,4,0,0,0,0,4,"https://jemus42.github.io/Rdatasets/csv/AER/Equipment.csv","https://jemus42.github.io/Rdatasets/doc/AER/Equipment.html"
"AER","EuroEnergy","European Energy Consumption Data",20,2,0,0,0,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/EuroEnergy.csv","https://jemus42.github.io/Rdatasets/doc/AER/EuroEnergy.html"
"AER","Fatalities","US Traffic Fatalities",336,34,0,3,5,0,29,"https://jemus42.github.io/Rdatasets/csv/AER/Fatalities.csv","https://jemus42.github.io/Rdatasets/doc/AER/Fatalities.html"
"AER","Fertility","Fertility and Women's Labor Supply",254654,8,0,6,6,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/Fertility.csv","https://jemus42.github.io/Rdatasets/doc/AER/Fertility.html"
"AER","Fertility2","Fertility and Women's Labor Supply",30000,8,0,6,6,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/Fertility2.csv","https://jemus42.github.io/Rdatasets/doc/AER/Fertility2.html"
"AER","FrozenJuice","Price of Frozen Orange Juice",612,3,0,0,0,0,3,"https://jemus42.github.io/Rdatasets/csv/AER/FrozenJuice.csv","https://jemus42.github.io/Rdatasets/doc/AER/FrozenJuice.html"
